latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.90001,10.5,26.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h)
2010-01-01,4.7,3.80,9.0,8.8
2010-01-02,3.6,6.50,6.0,13.2
2010-01-03,0.7,0.00,0.0,14.1
2010-01-04,-0.3,1.20,8.0,6.8
2010-01-05,-0.2,6.50,11.0,7.6
2010-01-06,0.8,1.20,3.0,8.9
2010-01-07,1.9,1.50,4.0,13.6
2010-01-08,3.9,22.60,23.0,17.1
2010-01-09,3.9,18.90,18.0,10.1
2010-01-10,2.7,0.20,1.0,13.4
2010-01-11,1.3,0.00,0.0,7.3
2010-01-12,2.4,0.30,3.0,7.3
2010-01-13,3.2,2.20,11.0,6.8
2010-01-14,3.6,0.00,0.0,9.9
2010-01-15,4.7,0.00,0.0,7.9
2010-01-16,2.8,0.00,0.0,8.7
2010-01-17,2.6,0.00,0.0,6.3
2010-01-18,1.0,0.00,0.0,6.5
2010-01-19,0.8,0.00,0.0,7.8
2010-01-20,-0.2,0.00,0.0,6.9
2010-01-21,-0.9,0.00,0.0,7.0
2010-01-22,-0.2,0.00,0.0,6.6
2010-01-23,1.3,0.00,0.0,5.9
2010-01-24,0.4,0.00,0.0,9.4
2010-01-25,0.7,0.00,0.0,10.6
2010-01-26,1.2,2.90,9.0,13.7
2010-01-27,0.8,0.00,0.0,14.5
2010-01-28,0.5,0.00,0.0,13.3
2010-01-29,0.1,1.60,4.0,10.2
2010-01-30,1.5,0.90,3.0,9.5
2010-01-31,-0.8,8.10,11.0,10.5
2010-02-01,-0.8,0.00,0.0,11.2
2010-02-02,-1.6,0.00,0.0,14.8
2010-02-03,1.6,0.00,0.0,8.6
2010-02-04,2.7,0.00,0.0,6.0
2010-02-05,3.9,18.40,21.0,20.7
2010-02-06,5.2,8.00,8.0,15.1
2010-02-07,5.0,0.00,0.0,8.6
2010-02-08,3.1,0.00,0.0,11.5
2010-02-09,2.4,0.00,0.0,11.9
2010-02-10,3.1,4.10,11.0,11.3
2010-02-11,2.7,5.00,19.0,18.4
2010-02-12,3.1,1.30,6.0,10.7
2010-02-13,2.3,0.00,0.0,7.3
2010-02-14,2.5,1.70,7.0,11.2
2010-02-15,2.9,0.00,0.0,8.9
2010-02-16,3.6,1.50,11.0,9.4
2010-02-17,5.1,5.10,10.0,9.3
2010-02-18,6.5,5.60,8.0,11.2
2010-02-19,7.5,21.10,17.0,26.5
2010-02-20,6.3,8.30,14.0,11.9
2010-02-21,5.1,0.00,0.0,12.0
2010-02-22,5.9,0.90,5.0,13.4
2010-02-23,6.7,4.60,10.0,7.6
2010-02-24,7.3,0.00,0.0,6.1
2010-02-25,7.8,0.20,2.0,9.6
2010-02-26,9.5,6.60,11.0,21.2
2010-02-27,9.6,0.00,0.0,23.7
2010-02-28,8.0,0.00,0.0,9.6
2010-03-01,8.4,0.00,0.0,10.2
2010-03-02,8.8,0.00,0.0,9.0
2010-03-03,7.1,8.80,11.0,25.6
2010-03-04,6.8,9.50,14.0,25.6
2010-03-05,4.0,20.90,24.0,12.5
2010-03-06,3.0,0.00,0.0,15.2
2010-03-07,3.5,1.60,6.0,29.1
2010-03-08,2.0,0.00,0.0,18.7
2010-03-09,1.3,6.50,11.0,30.6
2010-03-10,0.5,19.10,22.0,27.1
2010-03-11,1.5,0.40,4.0,11.5
2010-03-12,3.1,0.10,1.0,8.7
2010-03-13,5.1,0.00,0.0,8.4
2010-03-14,5.8,0.00,0.0,7.3
2010-03-15,6.4,0.40,3.0,7.7
