latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.800003,9.100006,351.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h)
2010-01-01,3.2,0.00,0.0,7.3
2010-01-02,0.3,0.00,0.0,29.7
2010-01-03,-2.1,0.00,0.0,15.5
2010-01-04,-0.6,0.30,3.0,6.1
2010-01-05,-0.2,0.00,0.0,6.2
2010-01-06,0.5,0.00,0.0,8.1
2010-01-07,1.5,1.10,4.0,7.9
2010-01-08,1.5,26.90,24.0,10.9
2010-01-09,3.3,13.70,15.0,9.2
2010-01-10,2.5,6.60,9.0,8.4
2010-01-11,0.8,0.00,0.0,6.0
2010-01-12,1.3,0.00,0.0,5.6
2010-01-13,1.7,1.30,7.0,7.1
2010-01-14,2.5,0.30,1.0,5.2
2010-01-15,1.7,0.00,0.0,8.6
2010-01-16,0.9,0.00,0.0,6.4
2010-01-17,1.5,0.00,0.0,5.4
2010-01-18,1.4,0.00,0.0,7.2
2010-01-19,0.1,0.00,0.0,8.4
2010-01-20,0.6,0.00,0.0,5.6
2010-01-21,1.4,0.00,0.0,6.6
2010-01-22,-0.2,0.00,0.0,6.3
2010-01-23,0.5,0.00,0.0,7.2
2010-01-24,0.2,0.00,0.0,4.8
2010-01-25,0.2,0.00,0.0,5.8
2010-01-26,0.6,0.10,1.0,6.6
2010-01-27,-0.1,0.00,0.0,5.8
2010-01-28,2.3,0.00,0.0,7.4
2010-01-29,0.8,0.70,4.0,5.9
2010-01-30,1.0,0.00,0.0,19.5
2010-01-31,-0.4,0.00,0.0,18.8
2010-02-01,-1.8,0.00,0.0,9.6
2010-02-02,-0.1,0.00,0.0,8.9
2010-02-03,0.6,0.00,0.0,9.0
2010-02-04,1.7,0.00,0.0,8.7
2010-02-05,2.0,28.10,23.0,7.0
2010-02-06,4.0,0.20,1.0,10.2
2010-02-07,2.8,0.00,0.0,9.8
2010-02-08,0.4,0.10,1.0,9.0
2010-02-09,0.4,0.10,1.0,7.9
2010-02-10,2.0,0.00,0.0,14.5
2010-02-11,0.4,2.60,10.0,11.3
2010-02-12,-0.0,0.70,4.0,9.2
2010-02-13,0.6,0.00,0.0,10.2
2010-02-14,1.1,0.00,0.0,9.0
2010-02-15,0.7,0.10,1.0,8.4
2010-02-16,2.3,0.00,0.0,5.8
2010-02-17,2.4,7.20,14.0,6.7
2010-02-18,5.1,5.40,9.0,7.9
2010-02-19,4.2,26.10,19.0,15.8
2010-02-20,4.5,0.00,0.0,19.6
2010-02-21,2.4,1.40,4.0,8.8
2010-02-22,3.2,9.80,18.0,8.3
2010-02-23,4.9,4.00,9.0,5.8
2010-02-24,5.4,0.10,1.0,7.9
2010-02-25,5.6,3.20,5.0,7.6
2010-02-26,6.6,9.50,10.0,8.7
2010-02-27,5.5,0.30,2.0,10.8
2010-02-28,4.5,5.70,16.0,8.6
2010-03-01,5.0,0.00,0.0,7.3
2010-03-02,7.3,0.00,0.0,7.6
2010-03-03,4.8,12.40,14.0,8.9
2010-03-04,6.0,5.30,6.0,10.6
2010-03-05,2.6,0.00,0.0,23.9
2010-03-06,1.1,0.00,0.0,10.7
2010-03-07,1.4,2.10,13.0,8.4
2010-03-08,0.7,0.00,0.0,9.0
2010-03-09,-0.3,2.80,12.0,8.3
2010-03-10,-0.1,9.10,24.0,8.4
2010-03-11,1.1,0.90,7.0,6.4
