"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","max_consecutive_highwind_days","Station","Densità","Quota","Type","Count_120","Count_180"
2010,4,-1.41539145106189,-0.613020165821726,-0.033850035673222,0.235516871677025,-0.000643493802047194,0.0734565689077432,-0.202903900161151,5707,756.057007125891,"182","urban",4,0
2010,5,-0.663941774519737,2.56210332872921,2.0165930742091,0.524404547331455,0.176000865163741,0.601155684035158,0.603004413282024,5707,756.057007125891,"182","urban",8,0
2010,6,0.441828004875613,-0.190269872185185,0.325178927329253,-0.107220734686149,0.817239339990122,-0.0934686613876742,-0.202903900161151,5707,756.057007125891,"182","urban",16,7
2010,7,1.46735011132622,-1.01170788430621,-0.989582113904228,0.16952847848257,1.25187227911688,0.0357637749700711,0.603004413282024,5707,756.057007125891,"182","urban",25,12
2010,8,0.543216440629849,1.32883458992976,0.369994604337981,0.0326808440898779,-0.0114970891527599,0.278074593140808,0.603004413282024,5707,756.057007125891,"182","urban",12,1
2010,9,-0.353004995998805,0.358080146372356,-0.00263012584692252,-0.541035467215789,-0.815086600630395,-0.343856506830788,-1.00881221360433,5707,756.057007125891,"182","urban",5,0
2010,10,-1.54744661766688,0.626227159411801,0.369994604337981,-0.107645967448414,-2.12050940500645,-0.0450064977535161,0.603004413282024,5707,756.057007125891,"182","urban",0,0
2011,4,-0.725872043857508,-1.23336027061448,-1.11093692468066,0.49676441778604,0.442589894968332,0.407307029498553,0.603004413282024,5707,768.764845605701,"182","urban",9,0
2011,5,0.104562827937161,-0.964274471275464,-1.21617823361126,0.363202672919713,1.05282553775913,0.197304320417221,0.603004413282024,5707,768.764845605701,"182","urban",22,2
2011,6,0.370670171314775,0.43466534449492,1.15250653772627,-0.342103849536469,0.620543116465473,-0.343856506830788,-0.202903900161151,5707,768.764845605701,"182","urban",11,4
2011,7,0.647887318383843,-0.0852740360494166,-0.309793754783123,-0.0693750188470388,0.872188921625927,-0.0450064977535161,-0.202903900161151,5707,768.764845605701,"182","urban",16,2
2011,8,1.17261895554527,-0.590736343658325,-0.883837258040942,-0.36394535050591,0.568795492648558,-0.368087588647866,0.603004413282024,5707,768.764845605701,"182","urban",25,2
2011,9,0.396998569732294,0.209504862014588,-0.50214868306776,-0.780712115022215,-0.720529208379251,-0.677706967421597,0.603004413282024,5707,768.764845605701,"182","urban",12,1
2011,10,-1.19418240524716,-0.781952289938526,-1.20107182563079,-0.239854698980319,-1.63661522797872,-0.287317315924279,-0.202903900161151,5707,768.764845605701,"182","urban",5,0
2012,4,-1.64309651845654,1.34449749819095,2.01105405794959,0.394901842468286,-0.871245408203443,0.323844414350857,-0.202903900161151,5707,778.74109263658,"182","urban",1,0
2012,5,-0.570288883897761,0.349038152013369,0.339781788377043,0.328410901463937,0.499095166152634,0.358844865864395,-0.202903900161151,5707,778.74109263658,"182","urban",10,0
2012,6,0.5357563451759,0.0762466172813302,-0.267999359370491,-0.126394866510687,0.827698917900613,-0.260393891683091,-1.00881221360433,5707,778.74109263658,"182","urban",15,3
2012,7,0.9632772000373,-0.980579707004783,-0.808305218138599,-0.165632253208016,1.18223988666238,-0.206547043200692,-1.00881221360433,5707,778.74109263658,"182","urban",22,3
2012,8,1.36474510615949,-1.11250388699655,-0.778092402177661,-0.0914098074357135,0.260510812689022,-0.287317315924279,-0.202903900161151,5707,778.74109263658,"182","urban",20,3
2012,9,0.0369399319145176,-0.200991799922347,0.325178927329253,0.240310404633142,-0.952886274712789,0.240381799203136,0.603004413282024,5707,778.74109263658,"182","urban",5,0
2012,10,-1.17145780678742,0.426117448188334,0.611697132025483,-0.104166790302814,-2.16113396177503,-0.206547043200692,0.603004413282024,5707,778.74109263658,"182","urban",0,0
2013,4,-1.42393039108919,1.60795057973257,2.1047137874285,0.168407410291215,-0.882547368227529,0.240381799203136,0.603004413282024,5707,785.985748218527,"182","urban",6,0
2013,5,-0.842295441218976,1.91730537034247,1.6238264667169,0.225195312811797,0.24101374280176,0.358844865864395,-0.202903900161151,5707,785.985748218527,"182","urban",2,0
2013,6,0.266068155980363,-1.05261920304523,-1.04849710502805,0.0246014216073599,1.16205441848874,-0.0100060462399777,0.603004413282024,5707,785.985748218527,"182","urban",16,4
2013,7,1.20291842015827,0.101495027759156,-0.491070650548751,-0.431209441987072,0.962812932878917,-0.610398406818628,-1.00881221360433,5707,785.985748218527,"182","urban",29,8
2013,8,0.869624309415303,-0.000783269088394591,-0.460857834587812,-0.354667544784372,0.533333923027825,-0.448857861371454,-0.202903900161151,5707,785.985748218527,"182","urban",19,6
2013,9,0.018438895188696,-0.432279098252482,-0.595808412546667,-0.391237562336762,-0.736464270028094,-0.260393891683091,-1.00881221360433,5707,785.985748218527,"182","urban",7,1
2013,10,-1.02133773211394,1.12576029039187,1.50297520287315,-0.47875819630996,-2.49781507104773,-0.448857861371454,-0.202903900161151,5707,785.985748218527,"182","urban",0,0
2014,4,-1.04394755987439,-0.15504068104881,-0.0962898553258301,0.265476452652816,-0.160696095385274,0.240381799203136,-0.202903900161151,5707,784.441805225653,"182","urban",4,0
2014,5,-0.500049215931252,-0.850137821170229,-0.460857834587812,0.598626993103759,0.696647358599178,0.520385411311571,1.4089127267252,5707,784.441805225653,"182","urban",NA,NA
2014,6,0.623992058791315,-0.0125922125408446,-0.12750976515213,-0.0520951056906836,0.905198072351438,-0.0934686613876742,-1.00881221360433,5707,784.441805225653,"182","urban",16,5
