"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","8","12","12","13","9","10","12","11","12","6","11","7","10","13","14","8","5","13"
"23","Totale","24","21","28","18","14","20","18","19","18","14","19","12","29","22","23","20","17","24"
"24","Maschi","14","18","12","16","7","5","11","7","8","7","6","8","5","18","10","10","13","12"
"24","Femmine","13","11","14","12","15","13","11","12","13","8","8","12","10","9","14","15","8","6"
"24","Totale","27","29","26","28","22","18","22","19","21","15","14","20","15","27","24","25","21","18"
"25","Maschi","11","15","17","9","16","9","6","9","5","9","7","6","8","6","17","10","10","14"
"25","Femmine","22","13","14","16","13","20","16","9","11","15","13","8","13","13","9","15","16","7"
"25","Totale","33","28","31","25","29","29","22","18","16","24","20","14","21","19","26","25","26","21"
"26","Maschi","16","10","13","19","11","10","10","5","8","5","10","7","5","9","7","16","9","11"
"26","Femmine","21","20","8","19","17","12","16","16","10","10","14","14","7","14","12","11","12","18"
"26","Totale","37","30","21","38","28","22","26","21","18","15","24","21","12","23","19","27","21","29"
"27","Maschi","14","17","9","12","20","10","11","10","6","8","6","11","7","8","8","8","16","8"
"27","Femmine","13","21","24","10","22","15","15","19","18","12","11","16","15","5","12","11","11","12"
"27","Totale","27","38","33","22","42","25","26","29","24","20","17","27","22","13","20","19","27","20"
"28","Maschi","23","15","23","11","13","18","7","14","9","6","9","9","9","9","8","8","7","17"
"28","Femmine","16","13","21","26","18","26","14","17","21","16","10","13","14","18","7","11","10","13"
"28","Totale","39","28","44","37","31","44","21","31","30","22","19","22","23","27","15","19","17","30"
"29","Maschi","16","25","11","29","7","14","20","9","17","9","7","11","9","11","5","5","9","7"
"29","Femmine","11","15","13","21","31","18","26","17","21","19","14","10","12","9","18","7","11","7"
"29","Totale","27","40","24","50","38","32","46","26","38","28","21","21","21","20","23","12","20","14"
"30","Maschi","14","20","23","14","30","8","14","22","13","18","8","11","11","12","9","7","7","15"
"30","Femmine","16","10","14","16","23","31","23","21","16","22","18","11","9","11","10","17","11","8"
"30","Totale","30","30","37","30","53","39","37","43","29","40","26","22","20","23","19","24","18","23"
