"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","8","2","4","2","5","6","7","6","7","9","5","6","6","3","4","5","4","9"
"23","Totale","13","12","9","8","12","14","7","14","17","19","12","19","12","9","9","8","9","12"
"24","Maschi","4","6","9","8","6","7","6","3","8","11","10","7","15","6","8","4","4","6"
"24","Femmine","6","7","3","5","3","5","5","6","6","7","10","5","8","8","3","5","6","4"
"24","Totale","10","13","12","13","9","12","11","9","14","18","20","12","23","14","11","9","10","10"
"25","Maschi","10","6","7","10","8","6","7","7","2","4","11","11","7","15","7","8","5","3"
"25","Femmine","5","7","7","2","4","4","9","5","6","7","7","11","4","7","8","5","4","5"
"25","Totale","15","13","14","12","12","10","16","12","8","11","18","22","11","22","15","13","9","8"
"26","Maschi","9","8","5","9","9","7","6","9","7","4","4","10","10","6","16","4","8","4"
"26","Femmine","8","5","6","6","1","4","4","9","4","6","7","8","11","6","7","8","5","4"
"26","Totale","17","13","11","15","10","11","10","18","11","10","11","18","21","12","23","12","13","8"
"27","Maschi","4","10","8","5","10","6","8","5","11","6","5","7","10","11","9","14","4","8"
"27","Femmine","5","8","5","6","7","1","4","5","10","4","7","7","8","11","4","5","9","5"
"27","Totale","9","18","13","11","17","7","12","10","21","10","12","14","18","22","13","19","13","13"
"28","Maschi","8","5","8","10","5","10","6","8","5","11","6","5","7","11","11","8","10","4"
"28","Femmine","5","4","7","6","6","7","2","4","5","10","5","6","7","10","13","5","7","11"
"28","Totale","13","9","15","16","11","17","8","12","10","21","11","11","14","21","24","13","17","15"
"29","Maschi","8","9","6","6","11","4","12","6","8","7","13","6","5","7","10","9","6","11"
"29","Femmine","8","6","3","10","6","8","7","5","6","6","10","6","7","8","10","12","5","5"
"29","Totale","16","15","9","16","17","12","19","11","14","13","23","12","12","15","20","21","11","16"
"30","Maschi","9","8","10","5","4","10","9","12","5","9","7","13","8","6","3","10","10","7"
"30","Femmine","8","7","4","3","13","9","11","8","6","6","7","10","6","6","6","9","10","4"
"30","Totale","17","15","14","8","17","19","20","20","11","15","14","23","14","12","9","19","20","11"
"31","Maschi","5","8","9","10","7","4","11","8","12","6","11","10","15","8","6","3","9","8"
"31","Femmine","9","9","8","2","3","12","9","12","9","7","7","8","11","8","8","8","9","9"
"31","Totale","14","17","17","12","10","16","20","20","21","13","18","18","26","16","14","11","18","17"
"32","Maschi","11","4","8","9","11","6","3","10","9","13","6","16","9","12","9","7","3","10"
"32","Femmine","7","8","9","14","1","3","9","6","13","7","6","6","9","11","7","7","5","9"
"32","Totale","18","12","17","23","12","9","12","16","22","20","12","22","18","23","16","14","8","19"
"33","Maschi","4","11","6","7","6","8","7","5","11","12","12","6","15","10","12","8","8","3"
"33","Femmine","9","9","7","8","11","0","3","7","6","11","5","8","7","9","10","5","8","6"
"33","Totale","13","20","13","15","17","8","10","12","17","23","17","14","22","19","22","13","16","9"
"34","Maschi","10","3","12","8","8","7","6","9","6","11","10","14","6","14","11","9","4","7"
"34","Femmine","7","10","9","8","7","12","1","6","8","5","10","5","5","6","7","11","4","9"
"34","Totale","17","13","21","16","15","19","7","15","14","16","20","19","11","20","18","20","8","16"
"35","Maschi","13","11","4","16","9","6","9","7","9","6","10","11","12","6","14","9","7","4"
"35","Femmine","10","7","11","12","8","7","9","3","6","8","5","9","4","5","6","7","9","6"
"35","Totale","23","18","15","28","17","13","18","10","15","14","15","20","16","11","20","16","16","10"
"36","Maschi","9","12","10","9","13","7","7","7","7","6","8","11","11","11","7","17","8","8"
"36","Femmine","9","11","8","12","10","8","7","9","6","9","6","5","8","5","5","6","5","10"
"36","Totale","18","23","18","21","23","15","14","16","13","15","14","16","19","16","12","23","13","18"
"37","Maschi","14","9","13","9","11","11","6","4","8","6","8","6","10","9","11","8","14","8"
"37","Femmine","10","10","10","8","12","9","8","6","9","6","10","7","4","8","5","5","4","5"
"37","Totale","24","19","23","17","23","20","14","10","17","12","18","13","14","17","16","13","18","13"
"38","Maschi","10","14","9","12","9","13","10","7","3","7","7","8","7","11","10","13","9","12"
"38","Femmine","5","9","11","12","8","11","8","7","7","8","6","10","8","4","9","6","4","5"
"38","Totale","15","23","20","24","17","24","18","14","10","15","13","18","15","15","19","19","13","17"
"39","Maschi","9","10","14","10","12","8","12","10","9","6","7","7","11","7","10","12","10","9"
"39","Femmine","12","5","8","11","12","5","10","9","8","6","9","5","10","9","4","10","5","4"
"39","Totale","21","15","22","21","24","13","22","19","17","12","16","12","21","16","14","22","15","13"
"40","Maschi","6","11","11","16","9","12","9","11","10","9","6","8","7","9","8","9","12","13"
"40","Femmine","8","10","5","8","11","11","5","11","9","8","7","9","5","9","12","4","7","5"
"40","Totale","14","21","16","24","20","23","14","22","19","17","13","17","12","18","20","13","19","18"
"41","Maschi","7","7","12","11","17","9","14","7","8","10","9","7","9","5","11","8","10","11"
"41","Femmine","7","8","10","4","8","12","10","5","11","9","10","5","8","5","9","12","4","7"
"41","Totale","14","15","22","15","25","21","24","12","19","19","19","12","17","10","20","20","14","18"
"42","Maschi","9","8","8","13","11","15","7","15","9","9","10","9","7","9","6","11","7","10"
"42","Femmine","8","7","8","10","4","10","10","10","5","8","7","9","4","9","6","10","13","3"
"42","Totale","17","15","16","23","15","25","17","25","14","17","17","18","11","18","12","21","20","13"
"43","Maschi","7","8","10","9","13","12","14","7","16","8","9","11","10","7","9","9","8","7"
"43","Femmine","9","6","7","8","11","4","9","8","11","5","9","7","9","4","9","7","9","13"
"43","Totale","16","14","17","17","24","16","23","15","27","13","18","18","19","11","18","16","17","20"
"44","Maschi","6","7","8","12","9","13","13","14","7","15","8","8","10","10","7","8","8","7"
