"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","29","17","19","21","24","15","21","20","16","6","11","22","25","27","25","25","25","21"
"23","Totale","50","42","42","39","48","41","42","34","40","22","25","51","45","56","49","44","52","43"
"24","Maschi","32","22","23","26","16","24","23","20","15","26","18","15","30","20","28","26","21","30"
"24","Femmine","32","30","18","21","20","24","15","20","20","17","5","9","21","27","25","26","27","27"
"24","Totale","64","52","41","47","36","48","38","40","35","43","23","24","51","47","53","52","48","57"
"25","Maschi","36","31","24","22","25","16","21","23","20","15","26","19","16","29","20","29","26","22"
"25","Femmine","20","33","27","17","21","20","24","16","19","19","19","5","10","23","26","23","25","26"
"25","Totale","56","64","51","39","46","36","45","39","39","34","45","24","26","52","46","52","51","48"
"26","Maschi","36","39","27","22","23","27","14","26","22","23","16","24","19","16","31","24","30","26"
"26","Femmine","28","22","35","26","18","19","21","23","16","20","22","22","8","9","22","28","22","25"
"26","Totale","64","61","62","48","41","46","35","49","38","43","38","46","27","25","53","52","52","51"
"27","Maschi","40","36","36","28","23","23","27","14","27","22","23","15","24","19","16","36","24","32"
"27","Femmine","24","29","22","35","27","19","19","19","23","15","21","22","20","13","8","21","28","20"
"27","Totale","64","65","58","63","50","42","46","33","50","37","44","37","44","32","24","57","52","52"
"28","Maschi","43","35","31","36","27","22","25","27","16","27","21","22","17","24","20","15","35","23"
"28","Femmine","31","26","29","20","34","25","20","20","20","22","14","21","22","20","12","10","22","24"
"28","Totale","74","61","60","56","61","47","45","47","36","49","35","43","39","44","32","25","57","47"
"29","Maschi","43","43","35","32","35","27","24","25","25","19","24","20","21","15","24","22","15","35"
"29","Femmine","21","31","24","28","23","33","24","19","18","19","22","13","23","21","20","11","13","21"
"29","Totale","64","74","59","60","58","60","48","44","43","38","46","33","44","36","44","33","28","56"
"30","Maschi","36","41","42","37","28","32","27","24","25","23","19","25","22","23","16","26","24","17"
"30","Femmine","34","20","32","23","26","23","32","23","22","18","21","21","13","22","22","19","12","15"
"30","Totale","70","61","74","60","54","55","59","47","47","41","40","46","35","45","38","45","36","32"
"31","Maschi","37","35","39","43","37","30","29","27","24","22","25","16","25","19","22","18","22","24"
"31","Femmine","31","36","19","32","24","25","25","29","23","21","19","22","23","15","22","22","20","11"
"31","Totale","68","71","58","75","61","55","54","56","47","43","44","38","48","34","44","40","42","35"
"32","Maschi","30","34","32","37","42","35","26","31","26","22","21","26","15","24","22","24","18","22"
"32","Femmine","41","31","35","15","30","25","22","25","27","21","19","20","22","23","15","24","25","20"
"32","Totale","71","65","67","52","72","60","48","56","53","43","40","46","37","47","37","48","43","42"
"33","Maschi","32","32","35","30","35","40","29","23","34","24","20","21","26","12","24","22","25","17"
"33","Femmine","29","41","32","33","14","32","27","24","24","27","21","21","21","20","25","15","26","23"
"33","Totale","61","73","67","63","49","72","56","47","58","51","41","42","47","32","49","37","51","40"
"34","Maschi","42","32","32","29","26","37","40","25","23","32","18","22","23","26","12","26","22","25"
"34","Femmine","26","31","41","28","31","12","28","25","23","23","25","22","23","21","19","24","14","26"
"34","Totale","68","63","73","57","57","49","68","50","46","55","43","44","46","47","31","50","36","51"
"35","Maschi","22","42","27","30","26","27","38","42","25","23","29","18","20","23","25","13","25","22"
"35","Femmine","36","26","32","38","28","32","12","28","25","27","26","25","21","23","20","18","24","13"
"35","Totale","58","68","59","68","54","59","50","70","50","50","55","43","41","46","45","31","49","35"
"36","Maschi","53","23","41","27","31","25","26","37","42","25","23","28","17","21","23","25","13","26"
"36","Femmine","43","34","29","32","39","28","30","15","28","28","27","27","25","20","25","18","16","23"
"36","Totale","96","57","70","59","70","53","56","52","70","53","50","55","42","41","48","43","29","49"
"37","Maschi","39","52","23","41","29","31","24","25","35","42","26","25","29","15","21","20","24","12"
"37","Femmine","34","44","36","28","31","39","28","35","15","26","28","25","24","30","23","23","17","15"
"37","Totale","73","96","59","69","60","70","52","60","50","68","54","50","53","45","44","43","41","27"
"38","Maschi","26","36","47","21","41","29","33","24","24","35","42","27","22","28","18","19","21","23"
"38","Femmine","36","35","46","36","30","32","39","29","37","16","26","29","22","25","31","23","25","17"
"38","Totale","62","71","93","57","71","61","72","53","61","51","68","56","44","53","49","42","46","40"
"39","Maschi","24","25","34","45","19","39","26","35","24","26","38","37","26","23","26","20","20","19"
"39","Femmine","28","37","33","47","37","30","31","39","29","35","17","24","28","23","25","27","23","24"
"39","Totale","52","62","67","92","56","69","57","74","53","61","55","61","54","46","51","47","43","43"
"40","Maschi","32","25","26","35","45","21","38","30","33","25","27","36","36","26","23","28","21","20"
"40","Femmine","40","28","35","33","46","37","34","31","39","30","35","17","24","27","21","25","25","24"
"40","Totale","72","53","61","68","91","58","72","61","72","55","62","53","60","53","44","53","46","44"
"41","Maschi","35","31","26","26","37","45","19","38","30","30","27","27","37","35","26","21","28","25"
"41","Femmine","20","39","27","34","31","45","35","33","33","39","29","31","18","23","27","22","25","25"
"41","Totale","55","70","53","60","68","90","54","71","63","69","56","58","55","58","53","43","53","50"
"42","Maschi","24","36","30","25","27","39","46","20","39","30","28","27","30","38","35","25","20","26"
"42","Femmine","25","20","35","28","32","33","47","35","33","31","38","28","36","16","24","27","24","25"
"42","Totale","49","56","65","53","59","72","93","55","72","61","66","55","66","54","59","52","44","51"
"43","Maschi","32","23","34","30","27","28","41","49","20","38","30","27","26","29","38","38","23","19"
"43","Femmine","27","26","20","34","28","32","33","45","35","34","30","38","30","37","17","24","28","27"
"43","Totale","59","49","54","64","55","60","74","94","55","72","60","65","56","66","55","62","51","46"
"44","Maschi","42","32","25","37","30","26","29","41","50","21","38","32","30","27","28","37","39","23"
"44","Femmine","30","29","25","21","38","29","29","35","43","35","32","29","38","29","37","17","24","28"
"44","Totale","72","61","50","58","68","55","58","76","93","56","70","61","68","56","65","54","63","51"
"45","Maschi","26","41","33","26","38","31","26","28","41","46","22","38","34","32","23","29","37","39"
"45","Femmine","26","31","29","25","21","39","28","30","34","44","35","31","30","38","28","37","17","25"
"45","Totale","52","72","62","51","59","70","54","58","75","90","57","69","64","70","51","66","54","64"
"46","Maschi","28","24","40","32","22","37","33","24","27","41","44","22","40","34","34","24","29","35"
"46","Femmine","40","26","31","31","26","23","42","28","33","35","45","35","32","31","38","27","34","18"
"46","Totale","68","50","71","63","48","60","75","52","60","76","89","57","72","65","72","51","63","53"
"47","Maschi","25","29","23","41","32","21","37","31","24","27","39","42","22","39","34","33","24","28"
"47","Femmine","28","39","27","31","32","27","24","42","30","33","34","46","35","35","30","36","29","35"
"47","Totale","53","68","50","72","64","48","61","73","54","60","73","88","57","74","64","69","53","63"
"48","Maschi","19","23","30","25","41","35","18","34","32","25","27","38","43","22","38","33","31","25"
"48","Femmine","24","27","39","30","31","25","27","23","41","32","35","34","48","37","35","31","36","27"
"48","Totale","43","50","69","55","72","60","45","57","73","57","62","72","91","59","73","64","67","52"
"49","Maschi","19","18","23","30","25","41","36","19","34","31","25","28","37","44","24","38","31","31"
"49","Femmine","27","25","25","37","30","32","25","27","22","42","32","34","33","46","38","37","31","37"
"49","Totale","46","43","48","67","55","73","61","46","56","73","57","62","70","90","62","75","62","68"
"50","Maschi","24","19","18","23","30","25","40","34","19","35","31","27","28","37","44","24","38","32"
"50","Femmine","36","25","25","25","38","30","32","27","27","23","43","31","35","34","45","39","38","31"
"50","Totale","60","44","43","48","68","55","72","61","46","58","74","58","63","71","89","63","76","63"
