"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","10","11","6","5","3","3","8","6","3","2","3","7","4","3","3","4","5","5"
"23","Totale","17","21","14","8","9","5","13","13","8","6","8","13","10","7","7","6","9","10"
"24","Maschi","6","7","12","8","4","7","1","5","8","6","2","5","7","6","4","4","2","4"
"24","Femmine","9","9","11","6","5","3","3","8","8","3","3","2","5","2","3","3","4","7"
"24","Totale","15","16","23","14","9","10","4","13","16","9","5","7","12","8","7","7","6","11"
"25","Maschi","6","8","4","12","7","2","6","1","5","9","4","2","4","8","9","5","4","2"
"25","Femmine","4","8","9","11","8","8","5","3","7","8","3","2","2","6","3","4","4","3"
"25","Totale","10","16","13","23","15","10","11","4","12","17","7","4","6","14","12","9","8","5"
"26","Maschi","10","8","8","5","9","10","4","7","1","6","7","4","2","5","6","9","4","4"
"26","Femmine","10","3","10","10","11","7","10","5","2","7","9","3","2","1","6","3","4","1"
"26","Totale","20","11","18","15","20","17","14","12","3","13","16","7","4","6","12","12","8","5"
"27","Maschi","10","11","9","8","8","12","12","6","7","2","5","6","3","2","5","5","10","3"
"27","Femmine","7","8","5","11","10","9","7","10","3","2","5","9","4","3","1","6","5","3"
"27","Totale","17","19","14","19","18","21","19","16","10","4","10","15","7","5","6","11","15","6"
"28","Maschi","6","10","10","11","10","11","10","13","7","8","2","4","7","3","4","5","3","10"
"28","Femmine","8","5","9","6","12","9","7","8","9","3","3","4","8","6","3","5","5","4"
"28","Totale","14","15","19","17","22","20","17","21","16","11","5","8","15","9","7","10","8","14"
"29","Maschi","7","6","12","10","10","12","11","9","12","6","5","3","4","8","4","6","5","2"
"29","Femmine","13","8","7","7","8","14","7","7","8","10","3","2","3","7","5","3","6","6"
"29","Totale","20","14","19","17","18","26","18","16","20","16","8","5","7","15","9","9","11","8"
"30","Maschi","14","5","7","8","10","11","12","10","9","10","8","5","2","4","6","4","4","4"
"30","Femmine","10","12","7","9","8","8","15","7","6","5","9","3","2","3","6","5","3","6"
"30","Totale","24","17","14","17","18","19","27","17","15","15","17","8","4","7","12","9","7","10"
"31","Maschi","6","14","7","10","10","10","9","13","8","8","9","9","5","2","5","7","2","4"
"31","Femmine","17","10","14","6","11","5","8","16","5","7","5","9","2","2","3","6","4","2"
"31","Totale","23","24","21","16","21","15","17","29","13","15","14","18","7","4","8","13","6","6"
"32","Maschi","4","6","15","6","10","10","10","10","14","8","8","6","9","5","4","6","5","3"
"32","Femmine","7","20","8","11","5","8","4","7","15","5","8","5","8","2","3","3","4","4"
"32","Totale","11","26","23","17","15","18","14","17","29","13","16","11","17","7","7","9","9","7"
"33","Maschi","11","4","6","10","5","11","10","10","8","14","8","6","6","7","5","3","6","4"
"33","Femmine","4","12","20","8","9","4","11","6","9","13","6","8","4","7","3","3","4","4"
"33","Totale","15","16","26","18","14","15","21","16","17","27","14","14","10","14","8","6","10","8"
"34","Maschi","13","9","3","5","8","5","12","12","9","7","8","8","7","6","8","5","3","5"
"34","Femmine","5","4","12","20","6","9","5","13","7","9","12","6","7","4","6","3","3","3"
"34","Totale","18","13","15","25","14","14","17","25","16","16","20","14","14","10","14","8","6","8"
"35","Maschi","7","12","8","2","5","10","8","11","12","8","6","7","8","5","6","7","7","2"
"35","Femmine","5","5","5","9","19","5","12","6","12","6","9","12","6","6","4","6","3","4"
"35","Totale","12","17","13","11","24","15","20","17","24","14","15","19","14","11","10","13","10","6"
"36","Maschi","9","6","13","7","4","7","10","8","11","10","5","7","6","8","7","6","8","8"
"36","Femmine","11","5","3","5","9","19","7","12","7","12","6","8","12","6","6","5","9","3"
"36","Totale","20","11","16","12","13","26","17","20","18","22","11","15","18","14","13","11","17","11"
"37","Maschi","6","6","7","13","9","4","9","11","8","10","10","4","8","6","9","7","8","8"
"37","Femmine","10","10","4","3","4","11","16","7","12","7","12","7","9","11","6","8","5","8"
"37","Totale","16","16","11","16","13","15","25","18","20","17","22","11","17","17","15","15","13","16"
"38","Maschi","12","7","5","7","12","10","4","7","11","8","10","9","4","11","6","9","7","9"
"38","Femmine","15","10","9","5","4","4","9","16","7","14","7","11","8","8","11","5","6","5"
"38","Totale","27","17","14","12","16","14","13","23","18","22","17","20","12","19","17","14","13","14"
"39","Maschi","9","13","7","5","9","12","16","4","6","11","8","10","10","4","11","6","8","8"
"39","Femmine","9","17","11","9","5","4","4","7","16","7","13","8","13","10","8","15","6","5"
"39","Totale","18","30","18","14","14","16","20","11","22","18","21","18","23","14","19","21","14","13"
"40","Maschi","11","10","11","6","5","11","13","13","4","6","10","7","10","10","4","10","7","8"
"40","Femmine","11","9","16","13","8","6","6","4","7","16","7","12","8","12","8","8","14","4"
"40","Totale","22","19","27","19","13","17","19","17","11","22","17","19","18","22","12","18","21","12"
"41","Maschi","11","11","10","12","6","5","10","11","16","4","5","10","7","9","12","5","7","8"
"41","Femmine","8","12","10","16","12","8","6","6","5","7","15","7","12","8","12","8","8","11"
