"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","27","29","36","28","25","28","32","22","24","28","30","28","23","24","34","19","27","33"
"23","Totale","66","59","69","62","52","57","57","49","55","57","54","56","53","53","65","42","60","61"
"24","Maschi","47","41","32","36","35","29","29","29","27","32","28","26","26","34","28","32","23","31"
"24","Femmine","42","28","27","40","28","31","31","33","21","28","29","28","26","22","20","32","20","28"
"24","Totale","89","69","59","76","63","60","60","62","48","60","57","54","52","56","48","64","43","59"
"25","Maschi","33","48","38","32","36","38","30","28","28","29","34","29","25","26","33","27","31","22"
"25","Femmine","46","43","27","29","41","35","29","29","37","23","32","30","25","27","22","23","31","21"
"25","Totale","79","91","65","61","77","73","59","57","65","52","66","59","50","53","55","50","62","43"
"26","Maschi","47","35","48","43","36","37","41","33","29","26","32","35","30","25","28","35","27","27"
"26","Femmine","33","51","49","30","31","39","32","31","30","39","25","34","30","29","27","20","23","31"
"26","Totale","80","86","97","73","67","76","73","64","59","65","57","69","60","54","55","55","50","58"
"27","Maschi","50","51","43","48","44","40","37","41","36","35","29","31","37","29","27","30","36","29"
"27","Femmine","54","38","53","52","31","30","43","37","32","33","36","30","39","30","29","27","22","20"
"27","Totale","104","89","96","100","75","70","80","78","68","68","65","61","76","59","56","57","58","49"
"28","Maschi","48","49","58","45","49","49","40","40","42","41","39","32","33","39","33","30","30","35"
"28","Femmine","49","56","43","57","50","39","31","48","38","35","34","37","33","36","33","29","33","21"
"28","Totale","97","105","101","102","99","88","71","88","80","76","73","69","66","75","66","59","63","56"
"29","Maschi","57","53","49","62","47","54","51","39","41","44","42","42","34","33","44","31","26","33"
"29","Femmine","44","53","63","51","61","54","39","27","49","36","37","34","33","37","39","34","33","32"
"29","Totale","101","106","112","113","108","108","90","66","90","80","79","76","67","70","83","65","59","65"
"30","Maschi","42","51","62","52","62","45","59","56","39","44","42","48","38","32","34","44","34","29"
"30","Femmine","50","39","61","69","52","59","54","48","24","49","38","34","31","33","36","40","31","33"
"30","Totale","92","90","123","121","114","104","113","104","63","93","80","82","69","65","70","84","65","62"
"31","Maschi","63","50","60","59","57","57","45","56","53","43","48","42","47","35","29","36","42","32"
"31","Femmine","69","50","44","64","76","54","59","53","44","32","52","43","33","34","38","37","42","34"
"31","Totale","132","100","104","123","133","111","104","109","97","75","100","85","80","69","67","73","84","66"
"32","Maschi","54","71","49","69","63","61","54","43","58","59","46","46","43","49","36","30","35","42"
"32","Femmine","53","73","47","43","60","77","53","61","55","46","37","51","50","35","36","33","35","45"
