latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.502636,10.401283,1226.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2010-01-01,-4.5,0.00,0.0,6.6,5.04
2010-01-02,-7.7,0.20,2.0,11.0,4.65
2010-01-03,-15.7,0.00,0.0,8.9,7.34
2010-01-04,-14.3,0.20,2.0,5.4,5.23
2010-01-05,-15.9,0.00,0.0,6.0,5.74
2010-01-06,-11.7,0.00,0.0,5.1,6.42
2010-01-07,-9.6,0.50,3.0,6.3,6.52
2010-01-08,-4.4,13.90,24.0,6.2,3.13
2010-01-09,-1.9,13.40,13.0,6.9,3.17
2010-01-10,-2.8,3.70,9.0,3.5,4.95
2010-01-11,-6.6,0.00,0.0,4.9,6.65
2010-01-12,-7.8,0.00,0.0,4.1,6.13
2010-01-13,-8.3,0.00,0.0,5.7,5.07
2010-01-14,-6.1,0.00,0.0,5.2,5.79
2010-01-15,-8.7,0.00,0.0,6.4,7.57
2010-01-16,-9.2,0.00,0.0,7.7,7.94
2010-01-17,-4.3,0.80,5.0,7.4,7.62
2010-01-18,-8.9,0.00,0.0,9.2,8.14
2010-01-19,-11.1,0.00,0.0,6.4,8.37
2010-01-20,-9.9,0.00,0.0,6.1,8.60
2010-01-21,-6.8,0.00,0.0,6.9,8.05
2010-01-22,-10.0,0.00,0.0,9.4,8.43
2010-01-23,-7.6,0.00,0.0,6.9,9.22
2010-01-24,-7.1,0.00,0.0,4.8,8.10
2010-01-25,-7.3,0.00,0.0,3.1,7.40
2010-01-26,-8.0,0.10,1.0,6.0,6.60
2010-01-27,-9.4,0.00,0.0,7.4,8.90
2010-01-28,-6.2,0.00,0.0,8.1,9.18
2010-01-29,-8.5,0.70,4.0,8.1,7.14
2010-01-30,-7.2,0.40,4.0,7.3,9.29
2010-01-31,-11.7,2.10,9.0,7.7,7.71
2010-02-01,-14.5,0.00,0.0,9.2,10.49
2010-02-02,-11.5,0.00,0.0,6.6,10.35
2010-02-03,-7.2,0.00,0.0,7.4,10.19
2010-02-04,-7.2,0.00,0.0,5.1,9.89
2010-02-05,-2.4,10.90,20.0,6.0,4.31
2010-02-06,-0.6,2.00,6.0,8.0,7.32
2010-02-07,-3.4,0.00,0.0,8.1,11.42
2010-02-08,-9.3,0.00,0.0,8.1,11.88
2010-02-09,-8.3,0.00,0.0,3.8,9.09
2010-02-10,-7.4,2.50,9.0,6.5,8.44
2010-02-11,-7.2,4.50,15.0,6.5,7.70
2010-02-12,-7.8,0.00,0.0,6.9,12.18
2010-02-13,-9.9,0.00,0.0,7.7,12.34
2010-02-14,-9.2,0.00,0.0,4.8,11.55
2010-02-15,-9.0,0.30,3.0,5.5,11.91
2010-02-16,-8.0,0.00,0.0,6.7,11.08
2010-02-17,-3.9,1.90,9.0,4.1,8.19
2010-02-18,1.4,1.80,6.0,5.4,10.37
2010-02-19,0.8,25.50,20.0,6.0,3.20
2010-02-20,-3.3,4.60,18.0,6.5,6.12
2010-02-21,-7.2,0.10,1.0,7.9,13.76
2010-02-22,-3.2,1.90,8.0,5.4,10.49
2010-02-23,-0.2,1.40,9.0,5.4,9.66
2010-02-24,0.7,1.10,6.0,4.7,11.06
2010-02-25,-1.5,0.70,4.0,6.5,11.73
2010-02-26,0.9,9.80,17.0,6.5,5.86
2010-02-27,-2.0,0.00,0.0,7.8,15.00
2010-02-28,-0.6,2.20,7.0,7.0,7.34
2010-03-01,-0.9,0.00,0.0,9.0,15.58
2010-03-02,0.0,0.00,0.0,5.7,14.52
2010-03-03,-2.7,2.40,8.0,6.1,11.10
2010-03-04,-0.3,4.40,14.0,5.8,11.28
2010-03-05,-7.1,0.20,2.0,9.1,12.55
2010-03-06,-10.1,0.00,0.0,7.7,15.08
2010-03-07,-11.4,0.00,0.0,5.6,12.14
2010-03-08,-9.9,0.00,0.0,6.4,17.65
2010-03-09,-12.1,3.20,10.0,7.3,12.60
2010-03-10,-3.9,12.70,24.0,6.6,7.26
2010-03-11,-2.2,1.10,6.0,5.8,14.47
2010-03-12,-2.9,0.00,0.0,5.4,15.22
2010-03-13,-4.6,0.00,0.0,6.1,18.77
2010-03-14,-4.7,0.00,0.0,8.7,19.26
2010-03-15,-4.9,0.00,0.0,8.7,18.67
2010-03-16,-5.0,0.00,0.0,9.9,18.36
2010-03-17,-3.2,0.00,0.0,6.9,18.38
2010-03-18,2.1,0.00,0.0,5.9,18.51
2010-03-19,2.2,0.00,0.0,5.7,13.75
2010-03-20,3.0,0.00,0.0,5.8,11.78
2010-03-21,5.1,0.00,0.0,5.3,9.84
2010-03-22,6.4,5.10,18.0,3.9,9.75
2010-03-23,7.0,1.50,8.0,3.3,12.12
2010-03-24,5.5,0.00,0.0,6.3,14.30
2010-03-25,5.4,1.80,5.0,7.0,16.15
2010-03-26,5.0,25.10,19.0,7.9,6.76
2010-03-27,2.6,1.70,2.0,6.1,18.16
2010-03-28,3.0,0.00,0.0,6.4,19.15
2010-03-29,4.0,1.20,9.0,7.6,15.79
2010-03-30,4.4,15.00,19.0,7.3,11.61
2010-03-31,2.3,5.00,15.0,4.4,13.25
2010-04-01,-0.6,15.50,14.0,7.0,6.63
2010-04-02,-2.5,0.00,0.0,6.9,20.55
2010-04-03,-0.7,4.40,10.0,7.8,18.34
2010-04-04,1.8,16.80,24.0,6.1,12.58
2010-04-05,0.4,0.80,2.0,9.6,20.66
2010-04-06,1.8,0.00,0.0,7.6,24.16
2010-04-07,4.5,0.00,0.0,4.8,23.43
2010-04-08,4.9,0.00,0.0,4.6,22.86
2010-04-09,7.4,0.00,0.0,5.2,20.48
2010-04-10,5.8,0.10,1.0,5.1,22.19
2010-04-11,1.9,1.10,3.0,6.1,15.13
2010-04-12,-0.4,0.00,0.0,6.4,22.88
2010-04-13,0.2,0.50,2.0,4.3,21.25
2010-04-14,1.5,1.60,4.0,4.8,18.12
2010-04-15,2.7,2.10,6.0,4.4,18.34
2010-04-16,3.5,1.80,6.0,5.9,20.75
2010-04-17,5.2,2.40,6.0,5.4,21.93
2010-04-18,4.1,6.10,16.0,5.1,14.02
2010-04-19,4.9,0.00,0.0,6.9,23.62
2010-04-20,5.0,1.70,4.0,4.6,22.17
2010-04-21,6.0,0.00,0.0,6.6,25.44
2010-04-22,6.4,2.40,9.0,6.4,20.02
2010-04-23,7.2,5.10,19.0,5.0,12.69
2010-04-24,8.6,0.50,5.0,5.9,17.95
2010-04-25,9.0,0.80,5.0,7.8,22.50
2010-04-26,8.5,5.60,10.0,5.1,18.76
2010-04-27,7.8,3.50,8.0,4.7,14.48
2010-04-28,8.8,0.10,1.0,7.6,20.66
2010-04-29,9.9,0.00,0.0,6.9,17.04
2010-04-30,10.1,0.40,3.0,6.6,17.49
2010-05-01,9.2,3.00,11.0,9.0,17.25
2010-05-02,7.6,18.10,23.0,6.6,11.75
2010-05-03,7.6,20.70,24.0,7.0,14.43
2010-05-04,6.8,26.20,23.0,6.5,5.23
2010-05-05,6.2,41.10,24.0,8.3,7.03
2010-05-06,5.5,6.10,13.0,6.9,16.86
2010-05-07,5.4,4.00,14.0,7.2,20.48
2010-05-08,6.0,4.30,13.0,6.2,19.46
2010-05-09,5.1,4.00,10.0,7.6,19.98
2010-05-10,7.2,2.90,15.0,6.6,13.59
2010-05-11,7.5,8.70,14.0,6.5,15.49
2010-05-12,7.9,6.30,15.0,6.5,18.01
2010-05-13,7.1,6.60,15.0,6.2,16.70
2010-05-14,6.2,6.50,15.0,6.5,18.21
2010-05-15,6.1,0.00,0.0,9.5,17.37
2010-05-16,4.6,0.00,0.0,9.0,19.83
2010-05-17,5.7,0.00,0.0,8.0,23.12
2010-05-18,5.8,0.00,0.0,7.9,26.01
2010-05-19,5.1,0.00,0.0,7.0,27.08
2010-05-20,7.2,1.40,8.0,7.9,21.26
2010-05-21,9.4,1.20,6.0,7.9,25.32
2010-05-22,11.1,0.80,4.0,5.7,23.97
2010-05-23,12.3,0.40,2.0,4.7,24.49
2010-05-24,13.4,1.90,3.0,5.8,25.44
2010-05-25,14.0,3.20,6.0,7.9,26.01
2010-05-26,12.4,7.30,12.0,8.4,20.77
2010-05-27,10.4,7.90,9.0,7.0,13.94
2010-05-28,10.4,7.90,12.0,8.0,17.68
2010-05-29,11.5,9.20,14.0,4.4,17.76
2010-05-30,10.7,12.40,17.0,5.7,17.75
2010-05-31,7.8,1.80,6.0,11.0,28.86
2010-06-01,8.2,0.00,0.0,6.5,26.21
2010-06-02,8.5,0.20,1.0,10.7,21.05
2010-06-03,10.3,1.00,5.0,10.1,21.74
2010-06-04,15.0,0.30,2.0,5.9,23.11
2010-06-05,16.3,3.00,13.0,6.8,23.17
2010-06-06,16.8,2.10,8.0,7.6,21.29
2010-06-07,15.3,16.60,20.0,4.9,12.15
2010-06-08,14.8,8.90,12.0,7.9,16.71
2010-06-09,15.6,1.30,8.0,9.5,23.21
2010-06-10,16.9,0.20,2.0,9.0,23.54
2010-06-11,17.8,0.80,5.0,8.7,24.70
2010-06-12,17.1,21.40,15.0,8.9,20.86
2010-06-13,16.0,18.00,19.0,7.9,18.90
2010-06-14,14.4,12.50,13.0,7.1,19.47
2010-06-15,14.2,13.50,18.0,4.1,8.58
2010-06-16,14.6,22.00,19.0,5.6,11.89
2010-06-17,13.3,10.00,17.0,6.2,15.27
2010-06-18,11.9,4.10,7.0,3.7,17.71
2010-06-19,10.9,18.10,14.0,6.0,16.34
2010-06-20,6.5,29.60,19.0,8.0,7.41
2010-06-21,7.8,0.00,0.0,9.5,23.91
2010-06-22,10.5,0.00,0.0,6.3,23.84
2010-06-23,13.5,0.10,1.0,5.9,23.57
2010-06-24,14.9,1.60,7.0,4.6,22.41
2010-06-25,15.0,3.50,6.0,6.6,22.42
2010-06-26,16.0,0.00,0.0,6.1,22.25
2010-06-27,17.8,0.80,2.0,6.2,25.36
2010-06-28,18.6,2.60,8.0,5.4,23.76
2010-06-29,18.4,5.40,8.0,6.2,22.96
2010-06-30,17.7,5.60,8.0,6.5,21.62
2010-07-01,18.0,9.40,9.0,5.9,21.86
2010-07-02,18.7,4.30,9.0,5.8,21.27
2010-07-03,19.1,5.90,5.0,5.9,23.78
2010-07-04,19.6,8.80,10.0,5.7,23.76
2010-07-05,18.9,14.30,12.0,5.4,22.78
2010-07-06,17.4,11.30,15.0,5.9,21.25
2010-07-07,18.2,1.60,6.0,6.5,22.51
2010-07-08,20.4,1.50,5.0,6.6,19.34
2010-07-09,21.8,1.20,6.0,6.5,26.22
2010-07-10,21.5,6.20,7.0,6.1,22.18
2010-07-11,20.7,7.90,14.0,7.2,20.33
2010-07-12,20.2,10.80,12.0,7.3,20.78
2010-07-13,19.9,6.80,9.0,5.9,20.40
2010-07-14,20.4,2.50,7.0,7.5,21.34
2010-07-15,20.8,1.30,7.0,6.1,24.61
2010-07-16,21.8,0.00,0.0,8.1,25.07
2010-07-17,20.2,4.40,8.0,8.3,21.00
2010-07-18,17.8,2.20,1.0,8.4,22.27
2010-07-19,18.6,0.30,1.0,6.8,21.42
2010-07-20,19.3,3.10,11.0,6.5,19.41
2010-07-21,19.2,5.40,7.0,6.7,19.70
2010-07-22,19.7,1.30,7.0,8.5,23.60
2010-07-23,17.4,28.30,14.0,8.5,20.34
2010-07-24,12.5,2.30,5.0,9.0,22.70
2010-07-25,13.7,2.20,5.0,6.4,25.68
2010-07-26,13.2,0.80,3.0,5.4,21.64
2010-07-27,13.5,8.10,14.0,4.6,19.39
2010-07-28,14.7,1.70,5.0,5.4,22.26
2010-07-29,13.1,15.30,14.0,5.3,11.90
2010-07-30,12.1,3.70,7.0,5.9,20.94
2010-07-31,14.7,0.00,0.0,6.1,24.33
