"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","max_consecutive_highwind_days","Station","Densità","Quota"
2015,6,21.4566666666667,2.74666666666667,4.5,9.74666666666667,22.7466666666667,2.2,0,9899,"398.328416912488","108"
2015,7,26.8548387096774,1.04516129032258,2.51612903225806,10.6193548387097,22.5238709677419,2.45161290322581,0,9899,"398.328416912488","108"
2015,8,23.8161290322581,2.41612903225806,2.96774193548387,8.98387096774194,18.7903225806452,2.19354838709677,0,9899,"398.328416912488","108"
2015,9,17.7266666666667,4.04,3.36666666666667,10.4733333333333,13.0316666666667,2.26666666666667,1,9899,"398.328416912488","108"
2015,10,12.7290322580645,5.14516129032258,6.2258064516129,7.99032258064516,8.81677419354839,2,0,9899,"398.328416912488","108"
2016,4,13.12,1.78666666666667,3.43333333333333,10.6233333333333,17.9033333333333,2.33333333333333,0,9899,"398.131760078663","108"
2016,5,15.3903225806452,5.77096774193548,6.7741935483871,10.9645161290323,20.0296774193548,2.45161290322581,1,9899,"398.131760078663","108"
2016,6,19.89,4.98666666666667,6.36666666666667,8.82666666666667,22.53,2.13333333333333,1,9899,"398.131760078663","108"
2016,7,23.3935483870968,1.7741935483871,2.16129032258065,9.53225806451613,22.8067741935484,2.19354838709677,0,9899,"398.131760078663","108"
2016,8,22.3483870967742,3.15161290322581,3.48387096774194,8.41935483870968,20.5367741935484,2.09677419354839,1,9899,"398.131760078663","108"
2016,9,20.0166666666667,1.69333333333333,1.93333333333333,8.78666666666667,15.728,2.13333333333333,1,9899,"398.131760078663","108"
2016,10,12.1709677419355,3.57741935483871,5.38709677419355,8.84516129032258,8.20516129032258,2.16129032258065,1,9899,"398.131760078663","108"
2017,4,13.59,2.57666666666667,2.73333333333333,15.1066666666667,18.5573333333333,2.9,1,9899,"395.476892822026","108"
2017,5,17.6129032258065,3.48387096774194,4.35483870967742,13.0322580645161,21.1032258064516,2.74193548387097,2,9899,"395.476892822026","108"
2017,6,23.51,7.62,3.83333333333333,15.0266666666667,23.2733333333333,3.03333333333333,2,9899,"395.476892822026","108"
2017,7,23.3774193548387,3.61290322580645,2.35483870967742,12.9870967741935,23.8696774193548,2.7741935483871,1,9899,"395.476892822026","108"
2017,8,24.258064516129,2.23548387096774,1.74193548387097,12.4483870967742,21.0341935483871,2.67741935483871,1,9899,"395.476892822026","108"
2017,9,16.9466666666667,4.90666666666667,4.43333333333333,11.9066666666667,14.0013333333333,2.5,2,9899,"395.476892822026","108"
2017,10,13.8096774193548,0.370967741935484,0.741935483870968,11.3774193548387,11.0106451612903,2.48387096774194,2,9899,"395.476892822026","108"
2018,4,14.7466666666667,3.46333333333333,4.9,13.1833333333333,17.3803333333333,2.76666666666667,2,9899,"395.968534906588","108"
2018,5,17.5612903225806,6.94838709677419,7.70967741935484,11.3290322580645,18.1167741935484,2.54838709677419,0,9899,"395.968534906588","108"
2018,6,21.7366666666667,2.97333333333333,3.8,12.7166666666667,23.486,2.7,1,9899,"395.968534906588","108"
2018,7,24.2322580645161,4.92258064516129,3.45161290322581,12.2645161290323,22.4554838709677,2.61290322580645,2,9899,"395.968534906588","108"
2018,8,24.8548387096774,4.33870967741935,3.61290322580645,11.158064516129,19.5964516129032,2.48387096774194,1,9899,"395.968534906588","108"
2018,9,20.1433333333333,3.23,3.53333333333333,9.84,15.869,2.3,1,9899,"395.968534906588","108"
2018,10,15.4774193548387,4.51935483870968,4.12903225806452,14.1645161290323,9.9958064516129,2.70967741935484,5,9899,"395.968534906588","108"
2019,4,12.61,4.47,7.03333333333333,14.9166666666667,15.781,2.96666666666667,2,9899,"394.985250737463","108"
2019,5,14.4612903225806,5.29677419354839,8.25806451612903,12.3354838709677,17.3145161290323,2.67741935483871,1,9899,"394.985250737463","108"
2019,6,23.35,4.05666666666667,2.56666666666667,13.2233333333333,24.7696666666667,2.76666666666667,2,9899,"394.985250737463","108"
2019,7,25.1225806451613,3.08709677419355,2.35483870967742,12.3645161290323,22.6822580645161,2.64516129032258,1,9899,"394.985250737463","108"
2019,8,24.4322580645161,4.51290322580645,3.67741935483871,13.1064516129032,19.6332258064516,2.67741935483871,1,9899,"394.985250737463","108"
2019,9,19.5133333333333,4.49666666666667,3.8,10.9666666666667,14.914,2.5,0,9899,"394.985250737463","108"
2019,10,15.141935483871,4.23870967741935,5.64516129032258,11.5838709677419,9.12193548387097,2.45161290322581,2,9899,"394.985250737463","108"
2020,4,13.8166666666667,1.63333333333333,2.3,12.4566666666667,20.308,2.63333333333333,1,9899,"398.918387413963","108"
2020,5,18.0483870967742,3.48387096774194,5.03225806451613,16.0870967741935,21.1451612903226,3.12903225806452,4,9899,"398.918387413963","108"
2020,6,20.3633333333333,5.98333333333333,5.7,12.4133333333333,22.15,2.73333333333333,1,9899,"398.918387413963","108"
2020,7,23.7903225806452,3.60967741935484,2.7741935483871,11.1225806451613,24.0790322580645,2.41935483870968,1,9899,"398.918387413963","108"
