"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","Station"
2010,5,15.2548387096774,9.40645161290323,8.64516129032258,12.5935483870968,5749
2010,6,20.4733333333333,3.41666666666667,5.03333333333333,10.8366666666667,5749
2010,7,25.2967741935484,1.62903225806452,2.2258064516129,11.6064516129032,5749
2010,8,20.8709677419355,6.72258064516129,5.12903225806452,11.2258064516129,5749
2010,9,16.6766666666667,4.61,4.33333333333333,9.63,5749
2010,10,11.258064516129,5.19354838709677,5.12903225806452,10.8354838709677,5749
2011,5,18.9483870967742,1.73225806451613,1.74193548387097,12.1451612903226,5749
2011,6,20.0233333333333,4.77666666666667,6.8,10.1833333333333,5749
2011,7,21.3354838709677,3.64516129032258,3.67741935483871,10.941935483871,5749
2011,8,23.7096774193548,2.54516129032258,2.45161290322581,10.1225806451613,5749
2011,9,20.2,4.28666666666667,3.26666666666667,8.96333333333333,5749
2011,10,12.8709677419355,2.12903225806452,1.7741935483871,10.4677419354839,5749
2012,5,15.7225806451613,4.59032258064516,5.06451612903226,12.0483870967742,5749
2012,6,20.82,3.99666666666667,3.76666666666667,10.7833333333333,5749
2012,7,23.0161290322581,1.69677419354839,2.61290322580645,10.6741935483871,5749
2012,8,24.5483870967742,1.40967741935484,2.67741935483871,10.8806451612903,5749
2012,9,18.5833333333333,3.39333333333333,5.03333333333333,11.8033333333333,5749
2012,10,13.058064516129,4.75806451612903,5.64516129032258,10.8451612903226,5749
2013,5,14.4032258064516,8.00322580645161,7.80645161290323,11.7612903225806,5749
2013,6,19.6666666666667,1.54,2.1,11.2033333333333,5749
2013,7,24.4,4.05161290322581,3.29032258064516,9.93548387096774,5749
2013,8,22.6838709677419,3.82903225806452,3.35483870967742,10.1483870967742,5749
2013,9,18.3666666666667,2.89,3.06666666666667,10.0466666666667,5749
2013,10,13.7548387096774,6.28064516129032,7.54838709677419,9.80322580645161,5749
2014,5,16.0483870967742,1.98064516129032,3.35483870967742,12.8,5749
2014,6,21.3433333333333,3.80333333333333,4.06666666666667,10.99,5749
2014,7,20.8,7.3,6.38709677419355,9.02903225806452,5749
2014,8,19.8064516129032,6.6,8.35483870967742,9.47096774193548,5749
2014,9,17.95,2.43666666666667,4.46666666666667,10.5,5749
2014,10,14.6387096774194,4.25806451612903,5.35483870967742,9.91612903225806,5749
2015,5,17.0354838709677,4.62903225806452,5.19354838709677,11.7258064516129,5749
2015,6,21.24,4.21,4.93333333333333,10.1566666666667,5749
2015,7,26.4225806451613,1.36774193548387,2.96774193548387,11.2548387096774,5749
2015,8,23.1870967741935,5.13870967741935,4.19354838709677,9.4258064516129,5749
2015,9,17.3066666666667,4.60333333333333,5.6,11.8233333333333,5749
2015,10,12.6064516129032,5.49677419354839,5.80645161290323,9.47741935483871,5749
2016,5,15.2322580645161,5.63870967741935,6,12.4870967741935,5749
2016,6,19.7133333333333,4.52,6.16666666666667,9.49666666666667,5749
2016,7,23.2032258064516,2.58064516129032,2.93548387096774,10.5903225806452,5749
2016,8,22.1741935483871,3.4,3.09677419354839,11.0645161290323,5749
2016,9,20.1333333333333,1.66333333333333,2.4,10.1933333333333,5749
2016,10,12.1032258064516,3.5258064516129,5,10.5967741935484,5749
2017,5,17.1516129032258,3.57096774193548,4.64516129032258,11.8709677419355,5749
2017,6,23.0233333333333,7.75,5.03333333333333,12.88,5749
2017,7,23.1645161290323,2.41290322580645,1.7741935483871,11.1096774193548,5749
2017,8,24.341935483871,1.27741935483871,2,11.1129032258065,5749
2017,9,16.95,4.72666666666667,3.7,11.1733333333333,5749
2017,10,14.2225806451613,0.0225806451612903,0.129032258064516,10.7677419354839,5749
2018,5,17.2387096774194,6.98064516129032,8.54838709677419,11.3,5749
2018,6,21.2766666666667,2.79333333333333,3.53333333333333,11.38,5749
2018,7,23.7129032258065,4.01935483870968,3.58064516129032,10.5548387096774,5749
2018,8,24.0677419354839,2.4258064516129,3.48387096774194,10.5129032258065,5749
2018,9,19.7066666666667,1.96666666666667,3.16666666666667,10.2,5749
2018,10,14.9290322580645,7.24193548387097,5.48387096774194,13.9290322580645,5749
2019,5,14.1225806451613,3.18709677419355,5.96774193548387,13.2483870967742,5749
2019,6,23.0066666666667,4.29666666666667,3.36666666666667,11.2566666666667,5749
2019,7,24.5967741935484,3.37741935483871,2.90322580645161,11.1741935483871,5749
2019,8,23.9225806451613,2.15806451612903,3,10.9032258064516,5749
2019,9,18.5466666666667,3.23333333333333,3.6,10.64,5749
2019,10,14.6161290322581,6.73548387096774,6,11.9064516129032,5749
2020,5,17.5387096774194,4.16451612903226,4.45161290322581,13.4451612903226,5749
2020,6,20.0266666666667,6.52333333333333,5.6,11.4466666666667,5749
2020,7,23.5935483870968,2.1,2.06451612903226,11.4548387096774,5749
2020,8,23.3935483870968,6.26451612903226,4.29032258064516,10.8709677419355,5749
2020,9,18.8866666666667,3.90666666666667,4.26666666666667,9.99333333333333,5749
2020,10,12.2387096774194,4.41612903225806,4.38709677419355,12.0774193548387,5749
2021,5,15.0161290322581,2.98387096774194,4.19354838709677,12.6225806451613,5749
2021,6,23.62,1.02666666666667,1.83333333333333,11.9733333333333,5749
2021,7,22.741935483871,6.96774193548387,5.45161290322581,12.0451612903226,5749
2021,8,21.9032258064516,2.66129032258065,2.83870967741935,10.8806451612903,5749
2021,9,19.7433333333333,3.80333333333333,3.66666666666667,10.1666666666667,5749
2021,10,12.4774193548387,3.00645161290323,3.54838709677419,10.8451612903226,5749
