latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.65905,9.212599,227.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,14.5,41.80,18.0,17.4,5.95
2023-10-22,14.1,4.30,11.0,11.5,9.64
2023-10-23,14.6,3.80,7.0,8.7,7.34
2023-10-24,13.6,40.70,19.0,9.4,1.76
2023-10-25,13.5,0.20,2.0,8.4,3.12
2023-10-26,14.0,5.60,7.0,15.0,1.25
2023-10-27,14.5,2.40,6.0,18.7,3.90
2023-10-28,13.4,0.40,2.0,10.0,3.06
2023-10-29,13.4,5.20,17.0,16.1,1.33
2023-10-30,13.9,63.90,21.0,29.1,0.35
2023-10-31,13.0,2.40,9.0,28.7,3.63
2023-11-01,10.7,8.10,8.0,13.7,1.19
2023-11-02,11.1,18.20,19.0,29.7,0.13
2023-11-03,10.2,0.40,10.0,25.7,3.16
2023-11-04,8.4,11.10,7.0,17.5,0.95
