latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.448154,9.169279,136.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,15.2,18.20,11.0,16.9,6.70
2023-10-22,14.9,1.60,8.0,8.6,9.99
2023-10-23,15.0,2.00,3.0,12.0,7.01
2023-10-24,13.8,33.00,20.0,10.8,1.91
2023-10-25,13.4,0.00,0.0,9.5,3.40
2023-10-26,14.4,3.70,10.0,12.4,0.67
2023-10-27,15.1,5.60,6.0,16.9,3.98
2023-10-28,13.1,0.00,0.0,10.5,2.96
2023-10-29,13.6,1.90,13.0,12.9,1.18
2023-10-30,14.1,49.10,20.0,21.9,0.30
2023-10-31,13.5,0.10,6.0,31.9,3.58
2023-11-01,10.7,3.90,8.0,11.7,1.18
2023-11-02,11.5,7.30,17.0,26.7,0.24
2023-11-03,10.6,0.30,10.0,34.0,3.11
2023-11-04,8.6,13.90,10.0,17.6,1.02
