latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.58875,9.622642,183.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,15.1,14.50,16.0,18.4,7.93
2023-10-22,14.5,7.90,8.0,9.0,10.50
2023-10-23,14.9,0.00,0.0,8.0,8.15
2023-10-24,14.3,36.30,21.0,21.1,1.69
2023-10-25,13.7,0.30,2.0,9.9,3.74
2023-10-26,14.4,5.50,12.0,12.8,0.84
2023-10-27,14.8,4.00,6.0,20.0,3.85
2023-10-28,12.9,0.50,2.0,7.9,3.02
2023-10-29,13.7,3.70,15.0,13.0,2.21
2023-10-30,14.7,29.30,21.0,40.6,0.47
2023-10-31,13.1,0.30,10.0,32.2,3.59
2023-11-01,10.8,7.60,9.0,11.8,1.48
2023-11-02,11.8,10.20,17.0,33.6,0.32
2023-11-03,10.4,7.10,12.0,24.2,3.20
2023-11-04,8.3,17.10,6.0,14.1,1.21
