latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.729347,9.085174,351.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2010-01-01,3.2,0.00,0.0,7.3,3.36
2010-01-02,0.3,0.00,0.0,29.7,7.01
2010-01-03,-2.1,0.00,0.0,15.5,5.59
2010-01-04,-0.6,0.30,3.0,6.1,3.19
2010-01-05,-0.2,0.00,0.0,6.2,4.53
2010-01-06,0.5,0.00,0.0,8.1,6.44
2010-01-07,1.5,1.10,4.0,7.9,3.99
2010-01-08,1.5,26.90,24.0,10.9,0.89
2010-01-09,3.3,13.70,15.0,9.2,1.47
2010-01-10,2.5,6.60,9.0,8.4,4.22
2010-01-11,0.8,0.00,0.0,6.0,4.16
2010-01-12,1.3,0.00,0.0,5.6,4.67
2010-01-13,1.7,1.30,7.0,7.1,2.93
2010-01-14,2.5,0.30,1.0,5.2,1.99
2010-01-15,1.7,0.00,0.0,8.6,6.21
2010-01-16,0.9,0.00,0.0,6.4,3.34
2010-01-17,1.5,0.00,0.0,5.4,6.51
2010-01-18,1.4,0.00,0.0,7.2,7.42
2010-01-19,0.1,0.00,0.0,8.4,6.85
2010-01-20,0.6,0.00,0.0,5.6,5.56
2010-01-21,1.4,0.00,0.0,6.6,7.53
2010-01-22,-0.2,0.00,0.0,6.3,5.08
2010-01-23,0.5,0.00,0.0,7.2,4.47
2010-01-24,0.2,0.00,0.0,4.8,5.29
2010-01-25,0.2,0.00,0.0,5.8,3.77
2010-01-26,0.6,0.10,1.0,6.6,5.75
2010-01-27,-0.1,0.00,0.0,5.8,6.30
2010-01-28,2.3,0.00,0.0,7.4,8.65
2010-01-29,0.8,0.70,4.0,5.9,6.52
2010-01-30,1.0,0.00,0.0,19.5,8.61
2010-01-31,-0.4,0.00,0.0,18.8,8.39
2010-02-01,-1.8,0.00,0.0,9.6,9.66
2010-02-02,-0.1,0.00,0.0,8.9,9.33
2010-02-03,0.6,0.00,0.0,9.0,9.41
2010-02-04,1.7,0.00,0.0,8.7,5.77
2010-02-05,2.0,28.10,23.0,7.0,1.45
2010-02-06,4.0,0.20,1.0,10.2,8.03
2010-02-07,2.8,0.00,0.0,9.8,10.38
2010-02-08,0.4,0.10,1.0,9.0,5.64
2010-02-09,0.4,0.10,1.0,7.9,5.15
2010-02-10,2.0,0.00,0.0,14.5,9.99
2010-02-11,0.4,2.60,10.0,11.3,6.20
2010-02-12,-0.0,0.70,4.0,9.2,10.99
2010-02-13,0.6,0.00,0.0,10.2,11.62
2010-02-14,1.1,0.00,0.0,9.0,10.05
2010-02-15,0.7,0.10,1.0,8.4,8.87
2010-02-16,2.3,0.00,0.0,5.8,5.73
2010-02-17,2.4,7.20,14.0,6.7,1.93
2010-02-18,5.1,5.40,9.0,7.9,6.57
2010-02-19,4.2,26.10,19.0,15.8,1.29
2010-02-20,4.5,0.00,0.0,19.6,10.00
2010-02-21,2.4,1.40,4.0,8.8,11.83
2010-02-22,3.2,9.80,18.0,8.3,3.05
2010-02-23,4.9,4.00,9.0,5.8,5.92
2010-02-24,5.4,0.10,1.0,7.9,8.02
2010-02-25,5.6,3.20,5.0,7.6,8.32
2010-02-26,6.6,9.50,10.0,8.7,7.87
2010-02-27,5.5,0.30,2.0,10.8,12.23
2010-02-28,4.5,5.70,16.0,8.6,3.00
2010-03-01,5.0,0.00,0.0,7.3,12.96
2010-03-02,7.3,0.00,0.0,7.6,14.46
2010-03-03,4.8,12.40,14.0,8.9,5.73
2010-03-04,6.0,5.30,6.0,10.6,9.43
2010-03-05,2.6,0.00,0.0,23.9,12.88
2010-03-06,1.1,0.00,0.0,10.7,15.80
2010-03-07,1.4,2.10,13.0,8.4,8.86
2010-03-08,0.7,0.00,0.0,9.0,12.64
2010-03-09,-0.3,2.80,12.0,8.3,10.29
2010-03-10,-0.1,9.10,24.0,8.4,4.94
2010-03-11,1.1,0.90,7.0,6.4,10.06
2010-03-12,2.8,0.00,0.0,8.2,16.32
2010-03-13,4.4,0.00,0.0,8.4,17.18
2010-03-14,4.8,0.00,0.0,13.6,17.59
2010-03-15,5.8,0.00,0.0,16.2,17.53
2010-03-16,6.1,0.10,1.0,13.2,17.43
2010-03-17,6.8,0.00,0.0,11.5,16.61
2010-03-18,7.2,0.00,0.0,8.2,9.66
2010-03-19,8.7,0.00,0.0,5.6,9.42
2010-03-20,8.1,0.20,2.0,6.8,3.00
2010-03-21,9.1,0.40,3.0,5.4,3.89
2010-03-22,10.2,0.70,5.0,7.7,4.80
2010-03-23,11.5,0.20,2.0,7.7,10.96
2010-03-24,10.5,2.70,13.0,7.6,11.20
2010-03-25,10.4,8.70,24.0,8.4,7.83
2010-03-26,9.8,34.60,22.0,22.7,4.71
2010-03-27,7.6,0.00,0.0,9.1,15.39
2010-03-28,10.1,0.00,0.0,8.7,18.83
2010-03-29,10.1,2.30,10.0,8.9,12.05
2010-03-30,8.7,33.00,18.0,18.2,5.27
2010-03-31,8.5,0.00,0.0,8.9,18.80
2010-04-01,5.2,10.90,10.0,13.1,10.21
2010-04-02,5.6,0.00,0.0,12.1,19.98
2010-04-03,6.1,11.20,13.0,10.8,8.14
2010-04-04,6.4,32.30,23.0,12.3,3.68
2010-04-05,8.7,0.00,0.0,23.8,22.81
2010-04-06,9.3,0.00,0.0,10.5,22.65
2010-04-07,9.9,0.00,0.0,8.0,21.60
2010-04-08,11.1,0.00,0.0,9.0,18.03
2010-04-09,12.8,0.00,0.0,8.0,21.25
2010-04-10,13.5,0.00,0.0,16.3,22.92
2010-04-11,7.5,2.80,10.0,16.9,7.89
2010-04-12,6.6,0.10,1.0,7.4,19.13
2010-04-13,8.0,0.00,0.0,7.7,21.02
2010-04-14,9.3,0.00,0.0,10.6,23.83
2010-04-15,9.9,0.00,0.0,6.9,20.68
2010-04-16,9.5,0.90,5.0,7.9,18.87
2010-04-17,9.7,6.00,9.0,11.8,19.04
2010-04-18,9.8,2.90,14.0,9.3,12.52
2010-04-19,12.2,0.10,1.0,8.9,23.93
2010-04-20,13.7,0.00,0.0,9.5,23.65
2010-04-21,14.2,0.00,0.0,12.8,24.28
2010-04-22,13.6,0.60,3.0,10.3,17.65
2010-04-23,11.9,5.50,23.0,7.9,7.64
2010-04-24,13.5,1.20,7.0,9.6,12.94
2010-04-25,15.1,0.90,2.0,9.2,21.77
2010-04-26,15.3,6.10,6.0,7.9,20.08
2010-04-27,14.2,7.10,9.0,10.1,9.44
2010-04-28,15.0,0.00,0.0,10.6,21.57
2010-04-29,16.4,0.00,0.0,7.3,15.75
2010-04-30,16.6,0.00,0.0,11.6,16.90
2010-05-01,14.5,3.50,15.0,10.0,10.75
2010-05-02,13.6,29.20,24.0,9.2,7.98
2010-05-03,13.4,34.60,17.0,10.4,16.59
2010-05-04,12.3,44.30,24.0,12.4,2.82
2010-05-05,12.2,52.50,21.0,11.9,5.41
2010-05-06,10.0,5.10,7.0,9.7,17.57
2010-05-07,10.5,2.70,7.0,6.4,13.86
2010-05-08,12.0,1.80,10.0,7.2,21.33
2010-05-09,12.0,13.20,13.0,10.0,12.08
2010-05-10,13.2,7.80,12.0,8.7,13.00
2010-05-11,12.7,24.70,23.0,13.0,5.68
2010-05-12,13.0,22.40,21.0,6.8,13.10
2010-05-13,11.9,19.70,23.0,7.3,16.37
2010-05-14,11.4,18.60,19.0,8.3,17.67
2010-05-15,12.7,0.00,0.0,17.5,19.00
2010-05-16,14.2,0.00,0.0,21.5,27.65
2010-05-17,15.0,0.00,0.0,17.1,27.36
2010-05-18,15.1,0.00,0.0,17.5,28.28
2010-05-19,14.1,0.90,4.0,16.7,26.63
2010-05-20,15.4,0.00,0.0,9.0,26.84
2010-05-21,16.3,0.00,0.0,9.4,27.66
2010-05-22,17.4,0.20,1.0,11.0,27.07
2010-05-23,18.0,0.00,0.0,8.5,26.18
2010-05-24,19.0,0.00,0.0,8.9,26.38
2010-05-25,19.1,0.00,0.0,11.4,25.07
2010-05-26,17.9,0.00,0.0,10.4,16.50
2010-05-27,16.0,8.00,12.0,6.8,14.55
2010-05-28,15.7,0.00,0.0,5.6,15.26
2010-05-29,16.8,6.10,12.0,5.5,18.97
2010-05-30,16.6,2.00,9.0,7.4,18.86
2010-05-31,17.4,0.50,2.0,22.6,28.65
2010-06-01,17.3,0.00,0.0,14.5,27.69
2010-06-02,18.6,0.00,0.0,21.4,28.98
2010-06-03,18.1,0.00,0.0,14.1,23.32
2010-06-04,20.0,0.00,0.0,9.7,27.35
2010-06-05,21.1,0.00,0.0,7.1,24.52
2010-06-06,21.3,1.90,2.0,8.4,21.02
2010-06-07,19.8,12.30,18.0,9.4,14.87
2010-06-08,19.4,2.30,12.0,10.0,13.35
2010-06-09,20.2,0.10,1.0,10.1,23.05
2010-06-10,20.6,3.80,14.0,11.5,16.63
2010-06-11,21.2,0.90,4.0,10.7,19.63
2010-06-12,20.5,18.50,21.0,7.5,15.00
2010-06-13,20.4,2.40,9.0,10.8,21.39
2010-06-14,18.6,8.20,14.0,6.1,20.87
2010-06-15,17.8,14.10,15.0,8.0,7.90
2010-06-16,17.5,36.20,22.0,7.9,9.12
2010-06-17,16.5,16.90,17.0,7.3,13.32
2010-06-18,17.1,0.00,0.0,9.4,25.73
2010-06-19,16.9,10.80,10.0,10.8,17.38
2010-06-20,14.8,1.30,10.0,14.8,15.33
2010-06-21,17.0,0.00,0.0,14.1,29.73
2010-06-22,18.2,0.00,0.0,11.9,28.68
2010-06-23,18.5,0.00,0.0,9.3,24.74
2010-06-24,19.5,0.00,0.0,8.7,21.76
2010-06-25,20.3,0.10,1.0,9.0,23.41
2010-06-26,21.1,0.10,1.0,8.0,26.94
2010-06-27,21.6,0.80,1.0,7.7,23.80
2010-06-28,22.8,0.00,0.0,7.6,24.43
2010-06-29,22.4,3.90,2.0,8.6,22.37
2010-06-30,22.7,0.80,2.0,8.7,25.40
2010-07-01,23.1,2.30,2.0,9.4,25.38
2010-07-02,24.5,0.10,1.0,7.6,25.19
2010-07-03,24.7,1.20,1.0,8.4,25.85
2010-07-04,26.0,1.10,2.0,6.6,27.17
2010-07-05,25.2,0.70,2.0,9.4,25.62
2010-07-06,24.7,0.30,1.0,10.6,25.26
2010-07-07,23.7,0.20,1.0,14.3,25.91
2010-07-08,23.6,0.00,0.0,11.1,18.60
2010-07-09,25.3,0.00,0.0,8.4,26.19
2010-07-10,26.4,1.20,3.0,10.3,25.02
2010-07-11,25.0,9.30,5.0,10.3,23.93
2010-07-12,24.4,4.50,4.0,10.2,22.00
2010-07-13,24.8,1.40,2.0,9.2,21.96
2010-07-14,25.0,1.00,3.0,10.4,16.06
2010-07-15,26.1,0.00,0.0,8.8,25.15
2010-07-16,27.7,0.00,0.0,10.4,25.60
2010-07-17,26.7,1.80,5.0,15.6,22.85
2010-07-18,25.1,0.00,0.0,22.8,27.49
2010-07-19,24.3,0.00,0.0,9.9,20.92
2010-07-20,24.9,0.00,0.0,8.4,19.85
2010-07-21,24.6,2.60,2.0,8.1,19.52
2010-07-22,25.3,0.70,3.0,11.9,20.14
2010-07-23,23.3,10.60,10.0,18.9,17.64
2010-07-24,21.5,0.00,0.0,22.7,28.80
2010-07-25,21.7,0.00,0.0,16.1,27.93
2010-07-26,20.2,3.70,4.0,10.7,25.20
2010-07-27,21.6,0.00,0.0,8.0,26.03
2010-07-28,22.7,0.50,1.0,9.3,24.95
2010-07-29,20.2,12.50,12.0,7.9,16.68
2010-07-30,18.7,1.90,2.0,11.1,25.76
2010-07-31,20.7,0.00,0.0,7.5,25.78
2010-08-01,22.7,0.00,0.0,6.8,24.35
2010-08-02,23.0,4.80,7.0,8.5,16.35
2010-08-03,22.8,4.40,4.0,10.1,25.34
2010-08-04,20.7,3.40,5.0,9.0,20.16
2010-08-05,16.9,49.30,18.0,13.7,4.03
2010-08-06,19.6,0.00,0.0,17.9,25.51
2010-08-07,19.5,0.00,0.0,10.9,26.08
2010-08-08,20.9,0.30,1.0,6.9,23.42
2010-08-09,21.7,0.20,1.0,6.3,15.80
2010-08-10,22.3,2.00,8.0,6.5,19.05
2010-08-11,21.6,7.00,17.0,7.8,16.05
2010-08-12,19.5,49.70,20.0,9.4,7.98
2010-08-13,18.7,14.00,14.0,7.4,12.46
2010-08-14,17.8,41.80,13.0,10.6,10.16
2010-08-15,16.9,45.80,23.0,9.6,16.21
2010-08-16,15.9,1.10,2.0,7.2,13.66
2010-08-17,18.2,0.00,0.0,6.8,21.94
2010-08-18,19.0,0.30,2.0,7.6,13.19
2010-08-19,20.2,0.00,0.0,8.1,19.00
2010-08-20,21.2,6.20,8.0,5.4,10.69
2010-08-21,22.4,0.00,0.0,7.7,21.16
2010-08-22,23.2,0.00,0.0,8.0,19.87
2010-08-23,22.6,1.00,5.0,8.0,11.78
2010-08-24,22.1,3.20,9.0,10.2,11.04
2010-08-25,22.0,0.00,0.0,6.6,20.11
2010-08-26,22.9,0.00,0.0,7.6,19.58
2010-08-27,21.5,3.60,10.0,10.5,9.09
2010-08-28,20.3,0.00,0.0,23.4,21.32
2010-08-29,16.9,4.40,9.0,11.8,18.62
2010-08-30,17.0,0.20,1.0,23.1,22.51
2010-08-31,15.5,0.00,0.0,21.1,23.25
2010-09-01,16.2,0.00,0.0,13.2,22.54
2010-09-02,17.2,0.00,0.0,6.4,19.03
2010-09-03,19.0,0.00,0.0,7.9,17.68
2010-09-04,19.7,0.00,0.0,6.5,14.93
