latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.166958,10.794393,26.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,17.0,8.10,5.0,15.6,9.15
2023-10-22,15.8,0.00,0.0,10.9,11.43
2023-10-23,15.3,1.50,4.0,15.5,10.38
2023-10-24,15.2,23.10,18.0,24.5,3.20
2023-10-25,14.6,0.00,0.0,10.8,3.00
2023-10-26,14.8,5.70,6.0,20.0,1.51
2023-10-27,16.5,4.10,7.0,24.5,3.81
2023-10-28,15.6,0.00,0.0,15.3,2.99
2023-10-29,14.8,0.00,2.0,12.9,2.64
2023-10-30,15.9,12.90,12.0,26.3,1.10
2023-10-31,14.8,-0.10,3.0,28.5,3.55
2023-11-01,11.9,0.60,2.0,11.0,1.53
2023-11-02,12.4,9.30,17.0,32.3,0.91
2023-11-03,11.5,0.90,13.0,30.8,3.28
2023-11-04,9.9,5.30,5.0,24.3,1.87
