latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.307556,9.0,100.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2010-01-01,2.3,0.00,0.0,7.9,2.06
2010-01-02,1.4,0.00,0.0,33.0,6.85
2010-01-03,-1.1,0.00,0.0,14.3,5.79
2010-01-04,-0.6,1.40,7.0,9.0,2.70
2010-01-05,-0.4,0.00,0.0,7.6,3.50
2010-01-06,0.5,0.00,0.0,7.6,6.16
2010-01-07,1.6,2.50,6.0,15.8,4.33
2010-01-08,1.4,33.10,24.0,17.1,0.99
2010-01-09,1.9,18.50,19.0,11.3,0.81
2010-01-10,2.7,2.70,7.0,12.9,4.83
2010-01-11,1.1,0.00,0.0,7.7,4.28
2010-01-12,2.4,1.40,6.0,8.4,4.27
2010-01-13,2.9,3.30,14.0,7.4,2.44
2010-01-14,2.0,0.40,3.0,8.4,2.16
2010-01-15,2.7,0.00,0.0,8.3,5.97
2010-01-16,1.5,0.00,0.0,9.0,4.30
2010-01-17,1.3,0.00,0.0,6.5,4.51
2010-01-18,0.2,0.00,0.0,6.5,7.14
2010-01-19,-0.9,0.00,0.0,7.6,6.30
2010-01-20,0.0,0.00,0.0,6.2,3.44
2010-01-21,-0.2,0.00,0.0,8.7,7.14
2010-01-22,-0.8,0.00,0.0,8.7,5.82
2010-01-23,0.0,0.00,0.0,8.0,5.16
2010-01-24,-0.6,0.00,0.0,9.3,5.61
2010-01-25,0.6,0.00,0.0,11.5,3.51
2010-01-26,0.7,0.40,3.0,14.1,5.80
2010-01-27,0.3,0.00,0.0,13.3,7.53
2010-01-28,0.6,0.00,0.0,13.0,8.22
2010-01-29,0.4,1.70,5.0,10.4,5.28
2010-01-30,0.6,0.00,0.0,14.2,8.53
2010-01-31,0.6,0.70,4.0,18.1,7.49
2010-02-01,-0.8,0.00,0.0,9.3,9.97
2010-02-02,0.0,0.00,0.0,8.4,9.56
2010-02-03,1.7,0.00,0.0,7.7,9.29
2010-02-04,2.3,0.80,3.0,7.3,4.00
2010-02-05,1.7,32.80,24.0,12.8,1.00
2010-02-06,2.0,1.10,2.0,10.0,8.48
2010-02-07,1.2,0.00,0.0,6.8,9.96
2010-02-08,2.1,0.00,0.0,7.3,6.59
2010-02-09,1.8,0.00,0.0,12.3,4.82
2010-02-10,2.6,0.00,0.0,9.8,10.20
2010-02-11,2.2,4.00,15.0,16.8,5.39
2010-02-12,2.7,1.20,5.0,9.4,9.99
2010-02-13,2.5,0.00,0.0,7.4,11.14
2010-02-14,1.8,3.90,10.0,9.4,8.25
2010-02-15,0.8,0.00,0.0,8.3,8.67
2010-02-16,2.8,1.30,9.0,11.0,3.87
2010-02-17,3.5,10.70,22.0,7.9,1.67
2010-02-18,5.3,5.00,7.0,11.5,7.22
2010-02-19,6.0,29.10,18.0,23.0,1.04
2010-02-20,5.9,0.00,0.0,18.7,8.15
2010-02-21,3.9,0.90,4.0,15.5,11.83
2010-02-22,4.7,4.70,16.0,11.2,3.12
2010-02-23,5.4,5.40,7.0,6.4,4.48
2010-02-24,5.2,0.00,0.0,8.5,8.50
2010-02-25,7.0,1.70,4.0,8.5,10.07
2010-02-26,9.2,6.20,11.0,15.3,8.52
2010-02-27,6.9,0.40,3.0,9.5,12.28
2010-02-28,6.5,1.50,9.0,9.8,2.69
2010-03-01,5.5,0.00,0.0,8.0,10.58
2010-03-02,7.5,0.00,0.0,10.7,14.01
2010-03-03,6.6,12.10,13.0,19.8,4.01
2010-03-04,7.4,5.80,10.0,20.5,8.02
2010-03-05,4.9,0.50,4.0,24.0,9.67
2010-03-06,3.3,0.00,0.0,12.5,15.65
2010-03-07,3.2,1.70,6.0,29.2,6.81
2010-03-08,1.7,0.00,0.0,17.6,15.06
2010-03-09,0.9,5.10,11.0,23.5,9.03
2010-03-10,0.2,15.60,21.0,17.0,4.47
2010-03-11,2.2,0.80,6.0,11.9,12.21
2010-03-12,3.7,0.00,0.0,9.3,15.09
2010-03-13,5.1,0.00,0.0,10.1,16.91
2010-03-14,6.3,0.00,0.0,9.9,17.48
2010-03-15,7.2,0.00,0.0,11.2,16.23
2010-03-16,6.8,0.00,0.0,16.6,17.23
2010-03-17,8.6,0.00,0.0,12.5,16.65
2010-03-18,9.1,0.00,0.0,13.3,11.33
2010-03-19,9.9,0.00,0.0,9.2,9.14
2010-03-20,9.5,1.20,9.0,6.9,2.30
2010-03-21,10.6,2.90,18.0,4.3,3.27
2010-03-22,11.1,8.70,24.0,5.6,2.23
2010-03-23,12.3,1.30,7.0,8.2,10.28
2010-03-24,11.9,4.00,9.0,6.2,13.07
2010-03-25,12.2,10.60,21.0,7.5,12.18
2010-03-26,12.6,2.10,7.0,30.2,9.33
2010-03-27,10.1,0.00,0.0,9.9,15.11
2010-03-28,10.9,0.00,0.0,12.8,19.88
2010-03-29,11.2,0.20,2.0,14.8,10.72
2010-03-30,10.6,11.60,16.0,19.1,7.96
2010-03-31,10.4,0.00,0.0,14.3,19.50
2010-04-01,8.7,5.40,9.0,13.3,13.24
2010-04-02,8.2,0.00,0.0,9.4,21.02
2010-04-03,8.5,4.10,12.0,10.1,10.78
2010-04-04,9.1,23.50,19.0,17.3,6.61
2010-04-05,10.7,0.40,1.0,20.0,22.83
2010-04-06,10.2,0.00,0.0,10.2,22.62
2010-04-07,11.6,0.00,0.0,9.2,21.90
2010-04-08,12.6,0.00,0.0,10.0,20.16
2010-04-09,13.8,0.00,0.0,10.4,22.09
2010-04-10,14.8,0.00,0.0,13.0,22.95
2010-04-11,10.5,1.10,5.0,30.2,13.73
2010-04-12,9.2,0.00,0.0,10.7,20.62
2010-04-13,9.4,0.30,1.0,9.7,20.79
2010-04-14,10.6,0.00,0.0,14.7,23.75
2010-04-15,10.6,1.00,2.0,10.7,21.70
2010-04-16,11.8,1.30,2.0,12.8,19.42
2010-04-17,11.5,3.40,12.0,14.3,15.96
2010-04-18,11.7,2.90,6.0,9.4,12.39
2010-04-19,13.0,0.00,0.0,10.7,23.84
2010-04-20,14.2,0.00,0.0,13.7,23.52
2010-04-21,14.8,0.00,0.0,19.2,22.73
2010-04-22,14.7,0.00,0.0,14.6,15.11
2010-04-23,13.3,8.50,20.0,13.6,6.82
2010-04-24,14.9,3.10,10.0,12.8,14.19
2010-04-25,16.4,0.40,1.0,10.9,23.46
2010-04-26,17.7,8.70,5.0,9.4,22.38
2010-04-27,15.0,14.70,14.0,13.4,9.68
2010-04-28,16.3,0.00,0.0,9.1,21.99
2010-04-29,17.3,0.20,2.0,9.2,19.78
2010-04-30,16.8,0.00,0.0,16.1,19.69
2010-05-01,16.5,0.00,0.0,17.4,15.52
2010-05-02,16.2,14.00,13.0,8.9,12.74
2010-05-03,15.8,8.10,11.0,10.6,16.60
2010-05-04,13.7,41.20,24.0,21.7,3.14
2010-05-05,12.9,77.00,20.0,9.1,3.91
2010-05-06,11.1,3.00,4.0,17.2,17.70
2010-05-07,11.7,4.20,5.0,9.1,17.67
2010-05-08,13.2,0.30,2.0,13.7,19.81
2010-05-09,14.2,2.40,9.0,16.6,14.89
2010-05-10,14.9,4.60,11.0,10.8,15.76
2010-05-11,14.6,17.30,21.0,14.4,10.46
2010-05-12,15.1,10.00,20.0,13.7,15.03
2010-05-13,14.4,6.60,18.0,12.9,17.34
2010-05-14,13.7,15.70,18.0,10.1,18.67
2010-05-15,14.3,0.00,0.0,18.8,16.51
2010-05-16,16.7,0.00,0.0,18.9,26.81
2010-05-17,17.1,0.00,0.0,16.0,26.33
2010-05-18,17.5,0.00,0.0,16.9,27.93
2010-05-19,15.6,2.60,6.0,20.4,24.11
2010-05-20,16.0,0.00,0.0,8.0,26.92
2010-05-21,17.7,0.00,0.0,10.7,27.50
2010-05-22,19.0,0.40,1.0,10.0,27.00
2010-05-23,19.9,0.00,0.0,9.1,26.34
2010-05-24,20.6,0.00,0.0,13.6,27.57
2010-05-25,19.9,0.00,0.0,21.1,27.32
2010-05-26,19.5,0.00,0.0,18.8,22.19
2010-05-27,17.3,4.90,7.0,10.1,16.50
2010-05-28,17.9,1.50,2.0,6.6,16.03
2010-05-29,18.4,4.00,4.0,7.1,23.01
2010-05-30,18.8,0.30,2.0,15.1,16.84
2010-05-31,20.1,0.40,2.0,18.8,25.38
2010-06-01,19.4,0.00,0.0,12.6,27.45
2010-06-02,21.2,0.00,0.0,22.1,27.53
2010-06-03,20.1,0.00,0.0,15.3,22.65
2010-06-04,22.2,0.00,0.0,11.0,28.11
2010-06-05,23.2,0.00,0.0,8.5,26.39
2010-06-06,23.6,0.90,1.0,11.9,24.59
2010-06-07,21.9,2.50,8.0,11.1,14.91
2010-06-08,22.3,0.20,2.0,13.0,19.69
2010-06-09,23.0,0.00,0.0,10.0,24.64
2010-06-10,23.9,0.10,1.0,12.4,21.12
2010-06-11,24.1,0.00,0.0,6.9,22.10
2010-06-12,24.0,0.10,1.0,12.4,18.04
2010-06-13,22.4,0.40,2.0,19.9,23.62
2010-06-14,21.4,2.10,4.0,14.4,20.07
2010-06-15,20.2,13.90,17.0,12.8,10.52
2010-06-16,19.7,28.30,18.0,16.4,11.93
2010-06-17,17.8,21.00,13.0,13.9,14.61
2010-06-18,18.4,0.30,1.0,15.3,26.33
2010-06-19,17.9,18.10,15.0,11.7,15.78
2010-06-20,16.3,3.80,8.0,17.3,14.76
2010-06-21,18.9,0.20,1.0,9.9,28.57
2010-06-22,19.5,0.00,0.0,7.8,27.03
2010-06-23,20.2,0.00,0.0,10.3,23.88
2010-06-24,21.1,0.00,0.0,8.7,25.09
2010-06-25,21.9,0.00,0.0,7.4,25.27
2010-06-26,22.8,0.00,0.0,7.6,27.20
2010-06-27,23.7,0.10,1.0,7.2,25.82
2010-06-28,24.9,0.00,0.0,8.5,25.62
2010-06-29,24.5,2.00,3.0,10.1,23.83
2010-06-30,24.9,0.80,1.0,8.2,24.66
2010-07-01,25.7,0.00,0.0,9.0,24.89
2010-07-02,27.0,0.00,0.0,6.9,26.31
2010-07-03,27.8,0.40,1.0,8.7,25.47
2010-07-04,28.1,0.00,0.0,15.2,27.80
2010-07-05,27.3,0.60,1.0,9.8,25.18
2010-07-06,26.8,0.40,1.0,16.7,22.68
2010-07-07,25.7,0.00,0.0,20.9,23.30
2010-07-08,26.0,0.00,0.0,18.0,23.03
2010-07-09,27.3,0.00,0.0,11.1,27.15
2010-07-10,28.7,0.00,0.0,8.8,26.29
2010-07-11,28.0,2.00,2.0,12.0,22.87
2010-07-12,27.5,3.10,3.0,11.5,22.73
2010-07-13,27.4,0.30,2.0,12.2,22.20
2010-07-14,27.7,0.00,0.0,11.3,21.93
2010-07-15,28.5,0.00,0.0,12.3,25.88
2010-07-16,29.4,0.00,0.0,10.7,26.24
2010-07-17,29.3,1.10,3.0,14.1,24.36
2010-07-18,27.7,0.00,0.0,20.5,27.63
2010-07-19,26.6,0.00,0.0,13.4,22.35
2010-07-20,26.9,0.00,0.0,13.0,24.89
2010-07-21,27.6,0.50,4.0,13.1,22.42
2010-07-22,28.0,0.00,0.0,16.3,23.12
2010-07-23,25.7,6.90,7.0,23.0,19.66
2010-07-24,24.8,0.00,0.0,26.5,28.29
2010-07-25,25.0,0.00,0.0,18.2,26.99
2010-07-26,23.3,0.30,1.0,18.9,25.36
2010-07-27,23.7,0.00,0.0,11.5,24.48
2010-07-28,24.9,0.00,0.0,17.2,23.96
2010-07-29,21.3,24.50,18.0,13.9,14.70
2010-07-30,20.7,0.00,0.0,12.6,23.66
2010-07-31,22.2,0.00,0.0,10.7,26.36
2010-08-01,24.2,0.00,0.0,8.8,25.84
2010-08-02,25.3,0.10,1.0,11.5,21.80
2010-08-03,24.2,2.60,5.0,11.9,23.50
