latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.869946,8.829114,431.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2010-01-01,2.4,0.10,1.0,6.2,3.55
2010-01-02,0.0,0.00,0.0,22.7,6.74
2010-01-03,-2.1,0.00,0.0,8.9,5.05
2010-01-04,-1.3,0.90,6.0,4.4,2.88
2010-01-05,-0.7,0.00,0.0,5.4,4.85
2010-01-06,-0.5,0.00,0.0,6.5,6.60
2010-01-07,0.2,1.70,9.0,7.6,3.81
2010-01-08,0.9,26.70,24.0,9.2,0.97
2010-01-09,2.5,12.00,17.0,7.1,1.48
2010-01-10,2.0,5.90,9.0,6.2,4.18
2010-01-11,0.9,0.00,0.0,3.7,3.93
2010-01-12,1.0,0.30,2.0,5.2,4.61
2010-01-13,0.9,2.50,9.0,5.4,3.28
2010-01-14,1.4,0.00,0.0,5.9,2.07
2010-01-15,1.4,0.00,0.0,5.1,6.38
2010-01-16,0.8,0.60,4.0,5.8,2.57
2010-01-17,1.2,0.50,4.0,5.7,6.59
2010-01-18,1.4,0.00,0.0,5.8,7.31
2010-01-19,-0.3,0.00,0.0,5.7,6.83
2010-01-20,0.0,0.00,0.0,5.2,5.32
2010-01-21,1.3,0.00,0.0,4.3,7.33
2010-01-22,-0.4,0.00,0.0,6.0,4.15
2010-01-23,-0.1,0.00,0.0,6.2,3.69
2010-01-24,-0.5,0.00,0.0,6.6,4.50
2010-01-25,-0.3,1.20,11.0,6.0,3.54
2010-01-26,-0.0,0.20,2.0,5.4,4.99
2010-01-27,-0.4,0.00,0.0,5.6,5.55
2010-01-28,2.1,1.50,4.0,6.2,8.06
2010-01-29,-0.0,1.40,8.0,7.0,6.60
2010-01-30,0.6,0.00,0.0,13.0,8.41
2010-01-31,-1.4,0.00,0.0,13.0,9.75
2010-02-01,-2.3,0.00,0.0,7.3,9.69
2010-02-02,-0.7,0.00,0.0,9.2,9.26
2010-02-03,0.4,0.00,0.0,6.0,9.18
2010-02-04,1.0,0.30,2.0,5.1,6.03
2010-02-05,0.9,25.10,23.0,6.2,1.50
2010-02-06,2.9,0.00,0.0,8.2,8.95
2010-02-07,2.2,0.00,0.0,9.9,10.37
2010-02-08,-0.2,0.30,3.0,5.5,4.73
2010-02-09,-0.1,0.40,4.0,5.2,4.28
2010-02-10,1.4,0.00,0.0,9.9,9.50
2010-02-11,0.2,1.70,4.0,8.4,6.75
2010-02-12,-0.0,1.20,4.0,7.1,11.36
2010-02-13,0.2,0.00,0.0,7.0,11.74
2010-02-14,0.1,0.00,0.0,8.6,10.32
2010-02-15,-0.1,1.00,5.0,7.4,9.21
2010-02-16,1.1,2.20,10.0,5.2,5.12
2010-02-17,1.6,6.70,18.0,5.3,2.46
2010-02-18,4.4,4.10,8.0,5.9,7.86
2010-02-19,3.3,28.40,18.0,10.4,1.60
2010-02-20,3.7,0.00,0.0,13.4,11.35
2010-02-21,1.8,2.50,4.0,8.3,11.74
2010-02-22,2.4,9.90,18.0,6.4,3.13
2010-02-23,4.1,3.50,8.0,4.9,7.22
2010-02-24,4.7,0.30,2.0,5.4,7.90
2010-02-25,4.8,4.10,11.0,7.2,7.86
2010-02-26,6.1,7.70,11.0,6.8,9.64
2010-02-27,4.6,0.80,3.0,9.2,11.82
2010-02-28,4.0,8.70,15.0,5.9,3.81
2010-03-01,4.6,0.00,0.0,5.2,12.66
2010-03-02,6.8,0.40,3.0,7.1,14.77
2010-03-03,4.0,11.60,11.0,6.5,5.39
2010-03-04,5.6,5.20,10.0,9.0,9.93
2010-03-05,1.9,0.50,2.0,20.9,15.94
2010-03-06,1.5,0.30,2.0,8.0,15.72
2010-03-07,0.5,3.70,14.0,6.8,8.78
2010-03-08,-0.0,0.10,1.0,7.7,12.66
2010-03-09,-1.0,2.00,11.0,8.7,10.76
2010-03-10,-0.7,9.50,24.0,7.8,4.92
2010-03-11,0.6,1.20,7.0,5.7,10.93
2010-03-12,2.8,0.00,0.0,5.8,17.06
2010-03-13,3.8,0.00,0.0,5.7,17.25
2010-03-14,4.1,0.00,0.0,10.5,17.67
2010-03-15,4.6,0.00,0.0,11.9,17.90
2010-03-16,5.2,0.00,0.0,8.7,17.69
2010-03-17,6.0,0.00,0.0,6.5,16.28
2010-03-18,6.7,0.00,0.0,6.2,8.13
2010-03-19,7.9,0.00,0.0,6.2,10.45
2010-03-20,7.2,2.30,14.0,5.2,2.71
2010-03-21,8.2,1.90,10.0,4.1,5.21
2010-03-22,9.4,1.80,12.0,6.2,5.64
2010-03-23,10.9,0.00,0.0,5.3,11.95
2010-03-24,9.4,5.50,13.0,6.5,10.11
2010-03-25,9.2,14.50,23.0,8.2,6.56
2010-03-26,8.8,41.10,21.0,16.8,4.02
2010-03-27,6.6,0.00,0.0,6.9,15.60
2010-03-28,9.4,0.00,0.0,7.6,18.97
2010-03-29,9.2,2.70,9.0,7.6,11.33
2010-03-30,7.6,38.50,23.0,11.7,3.13
2010-03-31,7.6,0.00,0.0,7.9,19.14
2010-04-01,4.9,7.00,15.0,8.7,13.32
2010-04-02,5.0,0.00,0.0,7.6,20.34
2010-04-03,5.2,13.30,15.0,8.1,6.61
2010-04-04,5.4,28.80,20.0,10.0,3.41
2010-04-05,7.5,0.00,0.0,16.5,22.49
2010-04-06,8.5,0.00,0.0,5.4,22.81
2010-04-07,9.4,0.00,0.0,5.6,21.33
2010-04-08,10.8,0.00,0.0,5.6,18.71
2010-04-09,11.9,0.00,0.0,5.7,22.27
2010-04-10,12.5,0.00,0.0,10.0,22.95
2010-04-11,6.4,15.00,17.0,10.6,6.75
2010-04-12,6.3,0.00,0.0,5.9,20.03
2010-04-13,7.8,0.00,0.0,6.9,22.02
2010-04-14,8.6,0.00,0.0,7.6,24.54
2010-04-15,8.8,0.00,0.0,5.3,20.85
2010-04-16,8.9,0.00,0.0,8.7,20.75
2010-04-17,9.2,2.30,5.0,11.8,20.44
2010-04-18,9.2,2.30,12.0,7.5,13.64
2010-04-19,11.8,0.10,1.0,7.6,24.41
2010-04-20,12.9,0.10,1.0,7.1,23.79
2010-04-21,12.9,1.00,3.0,9.2,24.19
2010-04-22,12.8,1.00,7.0,8.3,18.18
2010-04-23,11.3,7.20,16.0,6.3,6.82
2010-04-24,12.9,0.10,1.0,6.6,14.69
2010-04-25,14.5,0.10,1.0,7.4,22.60
