latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,9.607535,109.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,15.6,40.50,8.0,16.7,8.11
2023-10-22,15.2,6.40,9.0,13.6,10.60
2023-10-23,15.3,0.40,1.0,6.9,8.34
2023-10-24,14.6,36.60,20.0,19.8,1.79
2023-10-25,14.0,0.00,0.0,9.8,3.76
2023-10-26,14.8,5.60,11.0,11.9,0.70
2023-10-27,15.4,3.40,6.0,19.9,3.91
2023-10-28,13.6,0.00,0.0,8.6,3.00
2023-10-29,13.9,5.90,14.0,13.1,2.19
2023-10-30,14.9,30.00,22.0,38.9,0.45
2023-10-31,13.6,0.20,9.0,38.7,3.61
2023-11-01,11.1,6.40,9.0,10.0,1.60
2023-11-02,12.1,10.50,16.0,32.3,0.40
2023-11-03,10.7,9.60,12.0,24.3,3.22
2023-11-04,8.7,20.30,7.0,16.2,1.26
