latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.09666,8.818041,87.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2010-01-01,2.9,0.20,1.0,6.6,2.31
2010-01-02,1.8,0.00,0.0,22.9,7.01
2010-01-03,-0.8,0.00,0.0,8.7,5.86
2010-01-04,-0.7,2.90,12.0,7.9,2.71
2010-01-05,-0.4,0.00,0.0,8.9,3.54
2010-01-06,1.0,0.00,0.0,7.5,5.87
2010-01-07,2.4,2.80,4.0,12.9,3.99
2010-01-08,1.2,34.90,23.0,17.6,1.31
2010-01-09,1.5,18.00,19.0,10.0,1.00
2010-01-10,2.3,3.00,6.0,10.2,5.43
2010-01-11,0.3,0.00,0.0,8.7,4.80
2010-01-12,1.6,1.20,6.0,6.9,4.10
2010-01-13,2.7,4.70,15.0,5.9,2.87
2010-01-14,1.1,1.80,12.0,5.4,2.49
2010-01-15,2.5,0.20,2.0,5.0,6.36
2010-01-16,1.3,0.00,0.0,7.0,4.31
2010-01-17,1.4,0.10,1.0,6.3,4.29
2010-01-18,0.8,0.00,0.0,5.9,7.11
2010-01-19,-0.6,0.00,0.0,7.2,6.70
2010-01-20,0.1,0.00,0.0,5.7,3.07
2010-01-21,0.2,0.00,0.0,6.4,7.21
2010-01-22,-1.0,0.00,0.0,9.4,5.90
2010-01-23,-0.2,0.00,0.0,7.9,6.15
2010-01-24,-0.8,0.00,0.0,8.3,5.97
2010-01-25,0.8,2.70,13.0,9.9,2.97
2010-01-26,0.8,0.30,3.0,14.7,5.54
2010-01-27,0.7,0.00,0.0,17.4,8.10
2010-01-28,0.6,0.00,0.0,10.9,8.10
2010-01-29,0.5,1.40,5.0,7.0,4.68
2010-01-30,0.5,0.00,0.0,9.7,8.65
2010-01-31,-0.8,0.30,2.0,9.8,8.61
2010-02-01,-1.4,0.00,0.0,9.3,10.20
2010-02-02,-0.3,0.00,0.0,8.9,9.64
2010-02-03,2.2,0.00,0.0,6.6,9.34
2010-02-04,2.4,1.30,4.0,8.0,3.61
2010-02-05,1.5,31.20,24.0,11.3,1.07
2010-02-06,1.2,0.70,2.0,11.5,9.62
2010-02-07,0.0,0.00,0.0,6.2,10.76
2010-02-08,1.3,0.00,0.0,4.8,7.29
2010-02-09,1.8,2.50,12.0,9.2,4.26
2010-02-10,2.2,0.00,0.0,7.7,10.41
2010-02-11,1.8,1.70,10.0,16.0,4.89
2010-02-12,2.5,0.60,3.0,9.7,9.71
2010-02-13,1.9,0.00,0.0,7.6,10.70
2010-02-14,1.7,3.70,12.0,9.0,7.20
2010-02-15,0.5,0.00,0.0,8.6,9.69
2010-02-16,2.3,4.60,19.0,11.3,3.19
2010-02-17,2.9,13.20,24.0,7.8,1.74
2010-02-18,4.9,4.20,5.0,7.9,9.07
2010-02-19,5.7,33.20,17.0,15.4,1.12
2010-02-20,5.7,0.00,0.0,14.2,8.38
2010-02-21,4.3,0.40,2.0,9.2,12.39
2010-02-22,4.8,3.60,15.0,4.3,3.66
2010-02-23,5.1,5.20,7.0,6.2,6.17
2010-02-24,4.8,0.10,1.0,7.1,8.95
2010-02-25,6.9,0.80,3.0,7.1,9.64
2010-02-26,9.4,2.40,7.0,16.9,10.06
2010-02-27,7.3,0.40,3.0,9.7,12.26
2010-02-28,6.5,2.50,13.0,10.2,2.46
2010-03-01,5.4,0.00,0.0,6.6,8.33
2010-03-02,7.6,0.00,0.0,11.1,14.30
2010-03-03,6.7,11.50,12.0,15.5,3.35
2010-03-04,7.2,6.20,12.0,21.7,7.55
2010-03-05,5.0,0.00,0.0,25.3,12.47
2010-03-06,3.7,0.30,3.0,14.8,15.61
2010-03-07,2.8,3.90,13.0,28.2,5.23
2010-03-08,1.8,0.00,0.0,17.6,15.71
2010-03-09,0.8,5.70,10.0,27.1,8.08
2010-03-10,0.2,16.00,20.0,19.2,5.01
2010-03-11,2.5,1.70,8.0,10.2,13.80
2010-03-12,2.7,0.00,0.0,7.2,13.74
2010-03-13,4.8,0.00,0.0,8.7,17.07
2010-03-14,6.8,0.00,0.0,11.6,17.50
2010-03-15,6.5,0.00,0.0,10.8,17.01
2010-03-16,6.2,0.00,0.0,13.6,17.27
2010-03-17,8.1,0.00,0.0,15.4,16.59
2010-03-18,9.7,0.00,0.0,18.8,11.14
2010-03-19,9.9,0.00,0.0,11.1,9.53
2010-03-20,9.1,1.80,11.0,6.3,1.97
2010-03-21,10.6,4.50,23.0,5.6,3.32
2010-03-22,10.8,12.20,24.0,3.6,1.51
2010-03-23,11.9,1.10,6.0,7.4,9.14
2010-03-24,11.6,0.50,3.0,4.2,13.57
2010-03-25,12.1,1.60,9.0,7.9,12.14
2010-03-26,12.9,0.50,3.0,33.5,9.39
2010-03-27,11.2,0.00,0.0,11.0,14.88
2010-03-28,11.0,0.00,0.0,15.8,19.98
2010-03-29,11.6,0.00,0.0,18.0,9.58
2010-03-30,10.9,3.10,7.0,16.3,7.47
2010-03-31,10.5,0.40,1.0,14.1,19.15
2010-04-01,9.1,0.90,3.0,12.3,14.40
2010-04-02,8.6,0.00,0.0,7.8,20.91
2010-04-03,8.8,3.40,11.0,9.2,10.59
2010-04-04,9.1,12.70,19.0,14.9,5.89
2010-04-05,10.5,0.30,1.0,16.3,22.89
2010-04-06,10.7,0.00,0.0,11.2,22.77
2010-04-07,11.5,0.00,0.0,8.5,21.66
2010-04-08,12.7,0.00,0.0,8.8,18.75
2010-04-09,13.2,0.00,0.0,9.1,22.44
2010-04-10,14.2,0.00,0.0,12.6,23.10
2010-04-11,10.3,1.10,6.0,22.6,12.49
2010-04-12,8.6,0.00,0.0,10.3,20.19
2010-04-13,8.9,0.10,1.0,9.5,19.91
2010-04-14,9.9,0.00,0.0,13.4,23.16
2010-04-15,10.7,0.00,0.0,11.1,21.31
2010-04-16,11.6,0.80,3.0,9.6,18.42
2010-04-17,11.2,2.80,11.0,14.5,14.96
2010-04-18,11.4,2.60,7.0,8.6,12.15
2010-04-19,13.3,0.00,0.0,11.2,24.01
2010-04-20,13.9,0.00,0.0,16.6,22.93
2010-04-21,14.6,0.00,0.0,20.6,21.70
2010-04-22,14.5,0.00,0.0,15.3,14.17
2010-04-23,12.8,10.10,16.0,14.0,6.25
2010-04-24,14.5,3.20,10.0,13.1,12.35
2010-04-25,16.0,0.00,0.0,9.6,23.29
2010-04-26,17.4,2.00,4.0,7.0,22.58
2010-04-27,14.7,13.00,15.0,15.2,9.22
2010-04-28,16.4,0.00,0.0,7.3,21.80
2010-04-29,17.1,0.00,0.0,10.5,21.40
2010-04-30,16.4,0.00,0.0,19.8,19.14
2010-05-01,16.7,0.70,2.0,21.3,15.64
2010-05-02,16.5,2.90,4.0,14.5,14.19
2010-05-03,16.0,2.20,9.0,13.0,16.58
2010-05-04,13.8,27.20,20.0,22.5,3.53
2010-05-05,12.7,43.30,17.0,6.4,4.26
2010-05-06,11.0,0.40,1.0,19.1,18.39
2010-05-07,11.8,1.00,2.0,15.0,18.73
2010-05-08,13.1,0.50,3.0,16.6,19.44
2010-05-09,14.5,0.30,2.0,18.4,13.90
2010-05-10,15.2,0.90,5.0,10.1,16.23
2010-05-11,15.2,7.80,9.0,13.9,12.41
2010-05-12,15.4,2.10,5.0,15.3,14.73
2010-05-13,15.0,1.30,6.0,14.4,16.58
2010-05-14,14.2,1.90,7.0,14.8,18.22
2010-05-15,14.3,0.00,0.0,9.7,16.40
2010-05-16,16.2,0.00,0.0,10.8,26.42
2010-05-17,16.1,0.00,0.0,9.8,26.59
2010-05-18,16.3,0.00,0.0,11.3,27.85
2010-05-19,15.0,1.70,6.0,16.1,23.24
2010-05-20,16.0,0.00,0.0,8.5,27.09
2010-05-21,17.4,0.00,0.0,8.9,27.00
2010-05-22,18.4,0.00,0.0,9.8,26.65
2010-05-23,19.5,0.00,0.0,10.1,26.02
2010-05-24,20.1,0.00,0.0,15.9,27.78
2010-05-25,19.5,0.00,0.0,24.5,27.61
2010-05-26,18.8,0.00,0.0,23.1,23.52
2010-05-27,17.6,3.50,7.0,12.5,17.54
2010-05-28,18.0,0.20,1.0,6.8,13.89
2010-05-29,18.6,0.50,1.0,7.6,23.37
2010-05-30,18.9,0.10,1.0,17.4,16.48
2010-05-31,19.9,0.00,0.0,13.9,24.11
2010-06-01,19.0,0.00,0.0,10.2,27.57
2010-06-02,20.4,0.00,0.0,14.4,27.36
2010-06-03,19.5,0.00,0.0,10.4,24.50
2010-06-04,21.8,0.00,0.0,12.3,28.01
2010-06-05,22.8,0.00,0.0,8.8,26.26
2010-06-06,23.5,0.00,0.0,14.8,24.74
2010-06-07,21.8,1.40,7.0,12.9,14.58
2010-06-08,22.0,0.00,0.0,18.0,20.39
2010-06-09,22.6,0.00,0.0,13.9,24.96
2010-06-10,23.8,0.60,2.0,13.5,22.57
2010-06-11,24.0,0.00,0.0,8.2,22.13
2010-06-12,23.9,0.70,5.0,13.1,18.94
2010-06-13,21.8,0.40,1.0,21.3,22.06
2010-06-14,21.4,0.30,2.0,18.8,18.40
2010-06-15,20.1,9.60,15.0,10.9,9.31
2010-06-16,19.8,33.90,13.0,15.7,10.94
2010-06-17,17.9,15.50,14.0,9.9,17.02
2010-06-18,18.5,0.00,0.0,17.0,24.90
2010-06-19,18.1,12.10,15.0,13.1,15.14
2010-06-20,16.1,4.20,11.0,19.7,17.14
2010-06-21,18.7,0.00,0.0,8.1,28.27
2010-06-22,19.4,0.00,0.0,8.2,26.75
2010-06-23,20.2,0.00,0.0,9.2,22.98
2010-06-24,20.9,0.00,0.0,10.2,25.93
2010-06-25,21.9,0.00,0.0,9.1,25.03
2010-06-26,22.8,0.00,0.0,8.8,27.39
2010-06-27,23.9,0.00,0.0,9.1,26.50
2010-06-28,24.8,0.00,0.0,8.1,25.18
2010-06-29,24.4,0.30,1.0,10.8,23.33
2010-06-30,24.8,0.50,1.0,10.0,24.22
2010-07-01,25.6,0.00,0.0,8.0,24.68
2010-07-02,26.2,0.00,0.0,7.3,26.51
2010-07-03,27.3,0.10,1.0,11.1,25.95
2010-07-04,28.0,0.00,0.0,18.1,27.57
2010-07-05,27.5,0.70,2.0,15.7,24.65
2010-07-06,26.5,1.10,2.0,8.0,22.39
2010-07-07,25.8,0.00,0.0,13.5,22.15
2010-07-08,25.7,0.00,0.0,12.4,22.13
2010-07-09,27.0,0.00,0.0,6.2,26.70
2010-07-10,28.3,0.00,0.0,5.9,25.27
2010-07-11,28.4,0.50,1.0,8.7,22.39
2010-07-12,27.8,0.30,1.0,13.2,22.54
2010-07-13,27.6,0.00,0.0,14.7,21.25
2010-07-14,27.6,0.00,0.0,11.0,22.28
2010-07-15,27.9,0.00,0.0,15.9,25.51
2010-07-16,29.0,0.00,0.0,10.9,25.76
2010-07-17,29.1,0.20,1.0,9.3,24.72
2010-07-18,27.3,0.00,0.0,15.6,27.95
2010-07-19,26.2,0.00,0.0,10.1,23.06
2010-07-20,26.7,0.00,0.0,8.4,26.32
2010-07-21,27.3,0.10,1.0,11.6,22.96
2010-07-22,27.3,0.30,2.0,20.6,23.26
2010-07-23,26.0,2.50,4.0,20.5,20.28
2010-07-24,24.7,0.00,0.0,20.4,28.21
2010-07-25,24.7,0.00,0.0,12.7,26.59
2010-07-26,23.4,0.00,0.0,16.1,25.15
2010-07-27,23.8,1.40,2.0,12.5,22.76
2010-07-28,24.6,0.20,1.0,18.7,23.27
2010-07-29,21.9,11.80,16.0,12.0,16.01
