latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.448154,10.438871,177.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,15.9,13.40,6.0,13.5,9.77
2023-10-22,15.2,8.60,1.0,12.2,11.26
2023-10-23,15.0,3.80,3.0,9.4,10.03
2023-10-24,15.1,38.70,18.0,19.1,2.90
2023-10-25,13.9,0.00,1.0,13.7,3.53
2023-10-26,14.4,9.40,8.0,14.7,1.38
2023-10-27,15.1,4.50,7.0,23.0,3.84
2023-10-28,13.6,0.30,2.0,12.2,3.00
2023-10-29,13.9,1.70,13.0,13.2,2.40
2023-10-30,15.6,18.30,20.0,23.2,0.65
2023-10-31,13.5,0.00,8.0,22.0,3.50
2023-11-01,11.6,5.80,9.0,11.5,1.45
2023-11-02,12.1,27.80,23.0,23.7,0.47
2023-11-03,10.6,1.50,14.0,18.0,2.89
2023-11-04,9.0,17.60,6.0,16.4,1.53
