latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.58875,8.773584,203.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,14.3,22.10,17.0,13.7,5.53
2023-10-22,14.1,0.50,4.0,9.1,10.48
2023-10-23,14.0,4.50,3.0,11.2,4.82
2023-10-24,13.4,18.10,17.0,9.5,2.38
2023-10-25,12.8,0.00,0.0,7.4,2.53
2023-10-26,13.3,7.70,7.0,9.9,1.48
2023-10-27,14.4,1.70,5.0,12.2,3.89
2023-10-28,12.5,0.00,0.0,11.5,3.34
2023-10-29,13.3,1.20,6.0,11.8,0.75
2023-10-30,13.4,17.80,23.0,15.3,0.45
2023-10-31,13.2,0.00,7.0,17.3,3.38
2023-11-01,10.7,2.40,10.0,13.9,0.94
2023-11-02,10.7,17.90,14.0,13.7,0.22
2023-11-03,10.3,-0.10,8.0,18.9,2.96
2023-11-04,7.8,10.10,9.0,20.4,0.82
