latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.869946,9.25633,250.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,14.8,20.30,21.0,5.9,5.96
2023-10-22,15.4,1.80,12.0,6.6,9.09
2023-10-23,15.8,0.50,4.0,5.1,6.07
2023-10-24,14.5,47.50,20.0,6.2,1.65
2023-10-25,14.4,0.60,4.0,5.8,2.90
2023-10-26,15.1,5.70,6.0,5.8,1.42
2023-10-27,16.8,2.40,6.0,5.8,3.93
2023-10-28,15.7,0.10,4.0,7.1,3.20
2023-10-29,14.1,1.50,13.0,8.4,1.41
2023-10-30,14.6,60.00,22.0,14.7,0.39
2023-10-31,14.8,14.30,10.0,15.1,3.71
2023-11-01,12.6,2.20,5.0,7.5,0.90
2023-11-02,11.8,27.90,20.0,7.3,0.16
2023-11-03,12.0,0.80,12.0,8.0,3.27
2023-11-04,9.8,11.90,10.0,7.3,0.62
