latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.956062,10.4651165,26.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,17.2,0.70,3.0,20.5,8.55
2023-10-22,15.5,0.00,0.0,9.7,11.23
2023-10-23,14.8,3.90,3.0,13.7,9.61
2023-10-24,15.1,26.00,20.0,15.9,3.26
2023-10-25,14.4,0.10,1.0,8.2,3.11
2023-10-26,15.1,10.20,5.0,15.9,1.63
2023-10-27,17.4,12.90,7.0,24.1,3.66
2023-10-28,15.9,0.00,0.0,18.7,3.07
2023-10-29,14.3,0.00,0.0,12.8,2.46
2023-10-30,15.5,13.90,13.0,26.6,0.85
2023-10-31,15.1,0.00,4.0,39.1,3.64
2023-11-01,12.0,0.20,2.0,11.5,1.51
2023-11-02,13.3,7.10,12.0,27.1,1.44
2023-11-03,12.0,0.50,11.0,46.6,3.47
2023-11-04,10.1,5.40,5.0,16.5,1.46
