latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.90001,9.600006,1192.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h)
2010-01-01,-0.8,0.00,0.0,7.1
2010-01-02,-5.2,0.00,0.0,14.4
2010-01-03,-6.9,0.00,0.0,7.4
2010-01-04,-5.1,0.30,2.0,6.1
2010-01-05,-5.1,0.00,0.0,7.6
2010-01-06,-3.9,0.00,0.0,6.6
2010-01-07,-2.9,3.90,11.0,5.8
2010-01-08,-2.0,18.80,24.0,8.9
2010-01-09,-0.7,8.10,14.0,7.1
2010-01-10,-1.5,4.80,10.0,5.6
2010-01-11,-4.5,0.00,0.0,7.6
2010-01-12,-5.5,0.00,0.0,5.2
2010-01-13,-4.9,0.00,0.0,7.4
2010-01-14,-3.5,0.00,0.0,5.0
2010-01-15,-5.0,0.00,0.0,8.1
2010-01-16,-6.7,0.00,0.0,7.1
2010-01-17,-4.4,0.30,3.0,7.5
2010-01-18,-7.1,0.00,0.0,8.0
2010-01-19,-7.1,0.00,0.0,8.2
2010-01-20,-7.0,0.00,0.0,7.6
2010-01-21,-5.3,0.00,0.0,7.5
2010-01-22,-6.0,0.00,0.0,11.0
2010-01-23,-3.4,0.00,0.0,6.6
2010-01-24,-3.9,0.00,0.0,6.2
2010-01-25,-3.5,0.00,0.0,3.5
2010-01-26,-3.8,0.00,0.0,6.2
2010-01-27,-5.6,0.00,0.0,8.9
2010-01-28,-3.9,0.00,0.0,8.9
2010-01-29,-5.3,1.60,5.0,8.9
2010-01-30,-4.3,0.00,0.0,9.7
2010-01-31,-7.8,1.20,7.0,10.6
2010-02-01,-8.8,0.00,0.0,8.7
2010-02-02,-6.9,0.00,0.0,7.0
2010-02-03,-4.5,0.00,0.0,6.4
2010-02-04,-2.2,0.00,0.0,5.5
2010-02-05,-1.3,16.90,21.0,6.5
2010-02-06,0.1,0.70,2.0,8.0
2010-02-07,-1.7,0.00,0.0,7.9
2010-02-08,-3.7,0.00,0.0,7.9
2010-02-09,-4.6,0.00,0.0,6.8
2010-02-10,-2.7,0.30,2.0,7.3
2010-02-11,-4.5,6.40,18.0,6.4
2010-02-12,-4.0,0.10,1.0,8.1
2010-02-13,-4.7,0.00,0.0,10.2
2010-02-14,-3.5,0.40,3.0,5.5
2010-02-15,-4.1,1.20,9.0,6.5
2010-02-16,-2.3,0.00,0.0,6.2
2010-02-17,-0.8,5.90,13.0,4.8
2010-02-18,1.0,4.30,9.0,5.4
2010-02-19,0.6,25.30,21.0,5.5
2010-02-20,-0.3,3.50,11.0,8.0
2010-02-21,-2.4,1.20,4.0,6.6
2010-02-22,-0.7,7.10,14.0,5.6
2010-02-23,0.6,3.10,8.0,6.1
2010-02-24,1.0,0.20,1.0,5.6
2010-02-25,0.7,3.10,8.0,6.6
2010-02-26,1.0,15.10,13.0,7.6
2010-02-27,-0.6,0.20,2.0,9.4
2010-02-28,0.9,5.90,18.0,4.6
2010-03-01,0.3,0.00,0.0,9.0
2010-03-02,2.1,0.50,1.0,8.6
2010-03-03,-0.2,4.70,11.0,6.2
2010-03-04,0.8,4.90,14.0,5.8
2010-03-05,-3.9,0.90,5.0,9.6
2010-03-06,-5.0,0.00,0.0,7.8
2010-03-07,-4.2,0.50,4.0,5.4
2010-03-08,-5.0,0.80,5.0,8.0
2010-03-09,-5.6,2.50,12.0,6.5
2010-03-10,-4.1,8.40,24.0,6.4
2010-03-11,-3.1,1.00,7.0,6.9
2010-03-12,-2.6,0.00,0.0,7.0
2010-03-13,-2.1,0.00,0.0,6.5
2010-03-14,-1.5,0.00,0.0,10.5
2010-03-15,-1.8,0.00,0.0,12.1
2010-03-16,-0.2,0.00,0.0,8.7
2010-03-17,1.3,0.00,0.0,9.1
2010-03-18,2.3,0.00,0.0,7.1
2010-03-19,3.4,0.00,0.0,6.2
2010-03-20,3.3,0.90,6.0,5.6
2010-03-21,4.7,0.90,5.0,4.6
2010-03-22,5.0,2.80,13.0,4.8
2010-03-23,5.4,2.50,9.0,5.5
2010-03-24,4.2,4.20,11.0,6.0
2010-03-25,4.5,5.20,10.0,5.0
2010-03-26,3.6,42.40,24.0,7.9
2010-03-27,1.6,0.10,1.0,8.4
2010-03-28,3.9,0.00,0.0,8.8
2010-03-29,4.0,3.30,12.0,6.8
2010-03-30,3.3,20.00,21.0,7.7
2010-03-31,2.7,2.30,6.0,7.2
2010-04-01,-0.9,14.30,11.0,10.0
2010-04-02,-1.9,0.10,1.0,11.5
2010-04-03,0.6,12.30,13.0,6.8
2010-04-04,1.0,31.50,24.0,6.5
2010-04-05,2.1,0.00,0.0,10.5
2010-04-06,3.0,0.00,0.0,9.5
2010-04-07,4.7,0.00,0.0,5.8
2010-04-08,5.5,0.00,0.0,5.5
2010-04-09,6.7,0.40,2.0,4.9
2010-04-10,6.9,0.00,0.0,10.1
