"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","4","2","5","3","4","2","3","0","2","2","2","1","4","2","1","1","5","3"
"23","Totale","10","3","10","6","7","4","5","2","4","6","4","7","9","9","3","6","5","7"
"24","Maschi","4","6","1","4","3","2","2","2","2","2","4","3","5","5","7","2","5","3"
"24","Femmine","3","5","2","4","1","3","2","2","0","2","2","2","3","3","1","4","1","3"
"24","Totale","7","11","3","8","4","5","4","4","2","4","6","5","8","8","8","6","6","6"
"25","Maschi","5","4","4","1","4","3","3","3","1","2","1","3","4","5","6","7","2","5"
"25","Femmine","2","3","5","1","3","1","2","2","2","1","2","1","2","5","3","2","3","1"
"25","Totale","7","7","9","2","7","4","5","5","3","3","3","4","6","10","9","9","5","6"
"26","Maschi","4","6","4","4","1","6","3","3","3","1","3","1","3","4","5","5","7","2"
"26","Femmine","7","0","3","4","0","3","1","3","1","2","5","2","1","1","3","3","2","2"
"26","Totale","11","6","7","8","1","9","4","6","4","3","8","3","4","5","8","8","9","4"
"27","Maschi","8","3","6","4","5","1","6","3","2","4","3","3","1","3","4","5","4","6"
"27","Femmine","5","7","0","4","3","0","5","1","2","1","5","5","3","1","1","2","3","1"
"27","Totale","13","10","6","8","8","1","11","4","4","5","8","8","4","4","5","7","7","7"
"28","Maschi","5","9","4","5","6","5","1","8","4","2","6","4","3","1","6","3","5","5"
"28","Femmine","4","6","8","2","1","5","0","5","2","3","1","5","3","3","1","1","2","2"
"28","Totale","9","15","12","7","7","10","1","13","6","5","7","9","6","4","7","4","7","7"
"29","Maschi","3","9","10","5","2","6","7","0","9","5","3","5","2","4","1","5","3","5"
"29","Femmine","3","3","5","8","4","2","6","0","5","2","5","1","3","3","3","1","4","2"
"29","Totale","6","12","15","13","6","8","13","0","14","7","8","6","5","7","4","6","7","7"
"30","Maschi","8","2","10","8","8","2","7","9","0","10","5","3","5","3","4","2","4","2"
"30","Femmine","6","4","1","6","7","4","4","9","0","4","4","6","1","3","3","2","2","3"
"30","Totale","14","6","11","14","15","6","11","18","0","14","9","9","6","6","7","4","6","5"
"31","Maschi","7","8","1","11","7","8","3","5","10","0","11","6","3","7","3","4","1","3"
"31","Femmine","8","6","4","2","6","7","4","3","7","0","5","5","7","2","3","4","3","2"
"31","Totale","15","14","5","13","13","15","7","8","17","0","16","11","10","9","6","8","4","5"
"32","Maschi","7","6","9","1","10","4","7","6","4","9","0","9","6","3","6","4","4","1"
"32","Femmine","10","8","7","4","3","5","5","4","3","5","3","4","6","8","2","2","4","3"
"32","Totale","17","14","16","5","13","9","12","10","7","14","3","13","12","11","8","6","8","4"
"33","Maschi","7","7","6","9","1","10","6","7","6","4","9","1","7","7","2","5","5","4"
"33","Femmine","6","8","7","7","2","2","4","4","5","1","8","4","3","5","5","2","2","3"
"33","Totale","13","15","13","16","3","12","10","11","11","5","17","5","10","12","7","7","7","7"
"34","Maschi","10","6","7","5","9","3","10","8","6","4","5","9","1","7","8","3","4","5"
"34","Femmine","9","4","8","6","8","3","2","4","5","4","2","9","4","3","3","5","2","2"
"34","Totale","19","10","15","11","17","6","12","12","11","8","7","18","5","10","11","8","6","7"
"35","Maschi","7","10","7","6","3","9","3","8","8","6","9","4","8","1","7","6","4","4"
"35","Femmine","9","8","4","8","7","7","0","1","5","6","6","1","9","4","2","2","3","1"
"35","Totale","16","18","11","14","10","16","3","9","13","12","15","5","17","5","9","8","7","5"
"36","Maschi","3","7","13","7","5","6","7","7","7","8","8","8","5","8","1","7","6","4"
"36","Femmine","2","9","8","4","8","8","7","0","2","4","8","7","4","10","2","1","1","4"
"36","Totale","5","16","21","11","13","14","14","7","9","12","16","15","9","18","3","8","7","8"
"37","Maschi","8","2","8","11","6","6","6","6","6","8","8","8","8","5","8","1","7","6"
"37","Femmine","9","3","8","9","6","6","6","10","0","2","5","7","6","3","9","2","1","2"
"37","Totale","17","5","16","20","12","12","12","16","6","10","13","15","14","8","17","3","8","8"
"38","Maschi","6","8","2","7","12","6","8","7","4","5","10","8","7","10","5","6","0","6"
"38","Femmine","7","9","4","8","10","6","6","6","10","1","4","7","7","7","1","8","2","1"
"38","Totale","13","17","6","15","22","12","14","13","14","6","14","15","14","17","6","14","2","7"
"39","Maschi","3","5","8","4","8","11","5","8","7","5","6","10","9","6","8","6","5","0"
"39","Femmine","5","7","10","3","9","10","9","6","8","11","3","2","7","7","7","1","9","1"
"39","Totale","8","12","18","7","17","21","14","14","15","16","9","12","16","13","15","7","14","1"
"40","Maschi","8","5","5","7","5","8","10","5","8","7","6","5","9","11","7","8","5","5"
"40","Femmine","6","3","8","10","4","9","11","9","6","8","10","4","5","7","7","6","0","12"
"40","Totale","14","8","13","17","9","17","21","14","14","15","16","9","14","18","14","14","5","17"
"41","Maschi","5","9","6","5","7","6","7","10","5","7","7","6","5","10","7","8","8","5"
"41","Femmine","5","7","3","9","9","5","11","10","9","6","9","10","3","3","7","6","7","0"
"41","Totale","10","16","9","14","16","11","18","20","14","13","16","16","8","13","14","14","15","5"
"42","Maschi","5","5","11","8","6","10","6","7","10","5","8","8","6","4","9","6","9","8"
"42","Femmine","5","6","7","4","8","10","5","11","10","9","5","8","10","3","3","10","6","7"
"42","Totale","10","11","18","12","14","20","11","18","20","14","13","16","16","7","12","16","15","15"
"43","Maschi","7","5","4","11","7","6","9","5","7","14","5","7","8","6","4","9","5","9"
"43","Femmine","6","5","6","7","5","8","9","5","12","11","9","4","10","10","5","3","9","6"
"43","Totale","13","10","10","18","12","14","18","10","19","25","14","11","18","16","9","12","14","15"
"44","Maschi","7","8","5","5","11","8","7","9","4","7","13","5","7","8","6","4","9","6"
"44","Femmine","7","6","5","7","7","6","9","10","5","12","12","10","4","9","10","5","2","8"
"44","Totale","14","14","10","12","18","14","16","19","9","19","25","15","11","17","16","9","11","14"
"45","Maschi","10","8","9","7","5","10","8","9","9","5","7","11","5","7","8","7","5","11"
"45","Femmine","4","7","6","6","8","6","7","9","12","5","12","11","10","4","9","10","5","3"
"45","Totale","14","15","15","13","13","16","15","18","21","10","19","22","15","11","17","17","10","14"
"46","Maschi","5","10","6","9","8","5","11","9","9","11","4","6","11","5","8","8","6","6"
"46","Femmine","4","5","7","7","6","7","7","9","8","12","5","11","11","10","4","8","10","5"
"46","Totale","9","15","13","16","14","12","18","18","17","23","9","17","22","15","12","16","16","11"
"47","Maschi","5","5","10","7","9","8","6","9","10","10","11","4","6","13","5","8","8","5"
"47","Femmine","6","4","5","5","7","4","8","7","10","8","11","5","11","11","10","4","8","9"
"47","Totale","11","9","15","12","16","12","14","16","20","18","22","9","17","24","15","12","16","14"
"48","Maschi","5","4","5","10","6","8","8","7","9","8","11","10","4","6","13","5","8","8"
"48","Femmine","4","7","4","5","5","7","4","9","6","10","9","10","5","10","9","10","4","8"
"48","Totale","9","11","9","15","11","15","12","16","15","18","20","20","9","16","22","15","12","16"
"49","Maschi","7","5","3","5","10","6","8","8","7","9","9","10","9","4","6","14","5","8"
"49","Femmine","2","3","7","6","8","5","8","5","8","6","12","9","10","3","10","8","9","4"
"49","Totale","9","8","10","11","18","11","16","13","15","15","21","19","19","7","16","22","14","12"
"50","Maschi","1","7","6","3","5","12","5","8","6","9","9","9","10","9","4","6","13","6"
"50","Femmine","4","2","3","5","6","8","4","9","6","8","8","11","9","9","4","7","9","9"
"50","Totale","5","9","9","8","11","20","9","17","12","17","17","20","19","18","8","13","22","15"
"51","Maschi","5","1","7","6","3","4","12","7","8","6","9","9","10","9","9","3","6","13"
"51","Femmine","8","5","2","4","5","7","7","4","9","4","9","7","10","9","10","5","9","10"
"51","Totale","13","6","9","10","8","11","19","11","17","10","18","16","20","18","19","8","15","23"
"52","Maschi","5","5","1","8","6","3","5","12","7","10","6","9","9","11","11","9","5","6"
"52","Femmine","8","10","5","2","4","5","8","6","4","10","5","9","6","10","9","10","5","9"
"52","Totale","13","15","6","10","10","8","13","18","11","20","11","18","15","21","20","19","10","15"
"53","Maschi","4","6","5","1","7","6","5","5","11","7","9","6","11","9","11","11","8","6"
"53","Femmine","6","8","10","5","2","5","5","8","6","5","12","5","11","6","7","8","12","5"
"53","Totale","10","14","15","6","9","11","10","13","17","12","21","11","22","15","18","19","20","11"
"54","Maschi","4","4","5","5","1","7","8","5","6","11","8","8","5","11","9","11","13","8"
"54","Femmine","7","6","8","10","8","1","5","5","8","5","7","13","4","11","5","7","8","12"
"54","Totale","11","10","13","15","9","8","13","10","14","16","15","21","9","22","14","18","21","20"
"55","Maschi","4","5","4","5","6","1","8","8","6","7","12","8","7","5","11","9","9","13"
"55","Femmine","7","7","6","9","12","8","4","6","5","8","6","7","13","4","8","5","9","8"
"55","Totale","11","12","10","14","18","9","12","14","11","15","18","15","20","9","19","14","18","21"
"56","Maschi","5","4","5","4","6","7","1","6","8","8","7","12","8","7","6","11","9","9"
"56","Femmine","10","10","6","6","9","14","8","7","6","4","9","6","7","12","5","8","6","7"
"56","Totale","15","14","11","10","15","21","9","13","14","12","16","18","15","19","11","19","15","16"
"57","Maschi","10","8","4","5","4","7","9","1","5","8","6","6","12","8","7","6","11","9"
"57","Femmine","5","11","12","6","5","10","12","8","7","6","5","9","7","7","12","5","8","7"
"57","Totale","15","19","16","11","9","17","21","9","12","14","11","15","19","15","19","11","19","16"
"58","Maschi","6","10","9","3","5","4","8","12","1","5","8","6","7","12","9","7","6","10"
"58","Femmine","7","6","13","11","5","4","10","12","8","8","7","5","8","7","7","12","5","7"
"58","Totale","13","16","22","14","10","8","18","24","9","13","15","11","15","19","16","19","11","17"
"59","Maschi","2","6","9","9","3","5","4","8","11","1","5","8","5","7","12","9","7","6"
"59","Femmine","6","7","6","13","11","5","6","10","12","9","7","7","5","8","7","7","12","6"
"59","Totale","8","13","15","22","14","10","10","18","23","10","12","15","10","15","19","16","19","12"
"60","Maschi","6","1","6","9","7","4","5","4","8","11","1","6","8","7","6","10","9","7"
"60","Femmine","9","8","7","6","13","12","5","6","9","11","9","7","6","5","8","7","7","12"
"60","Totale","15","9","13","15","20","16","10","10","17","22","10","13","14","12","14","17","16","19"
"61","Maschi","5","6","2","7","8","7","4","5","4","6","12","1","7","8","6","4","10","7"
"61","Femmine","10","10","8","8","6","14","12","5","6","8","13","9","6","6","5","8","4","6"
"61","Totale","15","16","10","15","14","21","16","10","10","14","25","10","13","14","11","12","14","13"
"62","Maschi","4","7","6","2","6","7","7","4","5","4","5","11","1","7","10","6","3","10"
"62","Femmine","9","10","10","8","9","6","14","12","6","8","8","12","10","6","6","5","7","3"
"62","Totale","13","17","16","10","15","13","21","16","11","12","13","23","11","13","16","11","10","13"
"63","Maschi","6","4","7","6","4","6","7","7","4","6","3","5","10","1","5","10","6","3"
"63","Femmine","12","11","9","11","7","9","5","13","12","6","9","7","12","10","6","6","5","7"
"63","Totale","18","15","16","17","11","15","12","20","16","12","12","12","22","11","11","16","11","10"
"64","Maschi","3","6","4","9","6","5","6","7","7","4","9","3","5","10","1","5","10","8"
"64","Femmine","7","12","11","10","11","7","9","5","13","12","9","9","7","12","8","5","6","4"
"64","Totale","10","18","15","19","17","12","15","12","20","16","18","12","12","22","9","10","16","12"
"65","Maschi","5","6","6","4","10","5","4","6","7","7","4","8","3","5","10","1","5","10"
"65","Femmine","9","9","11","11","9","11","7","9","5","13","12","8","9","7","12","8","5","5"
"65","Totale","14","15","17","15","19","16","11","15","12","20","16","16","12","12","22","9","10","15"
"66","Maschi","10","5","6","6","4","9","6","3","6","8","8","4","8","3","5","8","1","5"
"66","Femmine","9","9","9","11","11","9","10","7","8","6","13","11","9","9","7","12","7","4"
"66","Totale","19","14","15","17","15","18","16","10","14","14","21","15","17","12","12","20","8","9"
"67","Maschi","4","10","5","7","6","4","9","6","3","6","8","8","4","8","3","5","10","1"
"67","Femmine","11","9","7","8","11","11","10","8","7","9","7","13","11","9","9","8","10","6"
"67","Totale","15","19","12","15","17","15","19","14","10","15","15","21","15","17","12","13","20","7"
"68","Maschi","6","4","10","5","7","6","4","9","5","5","6","8","8","4","9","3","5","10"
"68","Femmine","10","10","9","8","7","11","11","11","8","7","10","7","11","9","10","9","8","8"
"68","Totale","16","14","19","13","14","17","15","20","13","12","16","15","19","13","19","12","13","18"
"69","Maschi","5","7","4","9","5","7","7","4","8","5","5","6","8","8","3","8","3","5"
"69","Femmine","8","9","10","9","8","7","11","9","11","8","7","10","6","11","9","11","9","9"
"69","Totale","13","16","14","18","13","14","18","13","19","13","12","16","14","19","12","19","12","14"
"70","Maschi","6","4","7","4","8","5","7","4","4","10","5","5","6","8","7","3","8","3"
"70","Femmine","6","8","9","10","10","7","5","10","9","9","8","7","9","6","11","9","10","9"
"70","Totale","12","12","16","14","18","12","12","14","13","19","13","12","15","14","18","12","18","12"
"71","Maschi","5","6","4","7","4","7","4","7","4","4","11","4","4","6","7","7","4","9"
"71","Femmine","14","6","8","9","10","10","7","5","10","9","9","7","7","8","6","10","9","9"
"71","Totale","19","12","12","16","14","17","11","12","14","13","20","11","11","14","13","17","13","18"
"72","Maschi","8","6","7","4","8","4","7","4","7","4","4","11","4","4","6","7","4","4"
"72","Femmine","7","14","6","8","9","9","11","6","5","10","10","9","6","6","8","6","10","8"
"72","Totale","15","20","13","12","17","13","18","10","12","14","14","20","10","10","14","13","14","12"
"73","Maschi","5","8","6","5","4","8","4","7","4","7","4","4","10","4","4","6","6","5"
"73","Femmine","2","7","14","8","8","7","9","11","6","5","10","10","9","6","6","8","5","10"
"73","Totale","7","15","20","13","12","15","13","18","10","12","14","14","19","10","10","14","11","15"
"74","Maschi","2","6","7","6","3","4","8","4","7","4","7","4","3","11","3","4","6","5"
"74","Femmine","7","1","7","14","8","8","7","9","11","6","5","10","11","10","5","6","7","5"
"74","Totale","9","7","14","20","11","12","15","13","18","10","12","14","14","21","8","10","13","10"
"75","Maschi","5","2","5","8","5","3","4","8","5","7","3","7","5","4","11","3","4","6"
"75","Femmine","5","7","1","7","14","7","8","7","10","11","5","5","10","9","10","5","4","7"
"75","Totale","10","9","6","15","19","10","12","15","15","18","8","12","15","13","21","8","8","13"
"76","Maschi","7","5","2","5","8","4","3","4","8","5","7","3","7","5","4","10","3","3"
"76","Femmine","7","5","7","1","6","14","7","9","8","10","11","5","5","9","9","10","5","4"
"76","Totale","14","10","9","6","14","18","10","13","16","15","18","8","12","14","13","20","8","7"
"77","Maschi","3","7","5","2","4","9","4","3","2","8","5","7","2","7","5","4","10","3"
"77","Femmine","8","6","5","7","1","6","13","7","9","9","10","11","6","4","9","9","10","5"
"77","Totale","11","13","10","9","5","15","17","10","11","17","15","18","8","11","14","13","20","8"
"78","Maschi","1","3","5","3","1","4","8","3","3","2","8","5","7","2","5","5","4","8"
"78","Femmine","10","8","5","4","8","1","6","12","7","9","9","9","9","6","4","9","8","10"
"78","Totale","11","11","10","7","9","5","14","15","10","11","17","14","16","8","9","14","12","18"
"79","Maschi","3","1","3","5","3","1","4","8","3","3","2","8","5","6","2","5","5","4"
"79","Femmine","6","9","8","5","4","8","1","7","13","8","9","9","8","9","6","4","9","6"
"79","Totale","9","10","11","10","7","9","5","15","16","11","11","17","13","15","8","9","14","10"
"80","Maschi","2","3","1","3","5","4","1","4","8","3","3","2","8","4","5","2","5","5"
"80","Femmine","3","6","9","8","5","4","8","1","7","12","8","10","9","9","9","5","4","9"
"80","Totale","5","9","10","11","10","8","9","5","15","15","11","12","17","13","14","7","9","14"
"81","Maschi","1","2","3","1","3","4","5","1","3","8","3","3","2","8","4","5","3","5"
"81","Femmine","9","2","7","9","8","5","4","8","1","6","11","8","9","9","10","9","5","5"
"81","Totale","10","4","10","10","11","9","9","9","4","14","14","11","11","17","14","14","8","10"
"82","Maschi","0","1","3","3","1","2","3","5","2","3","7","3","3","2","8","4","5","3"
"82","Femmine","1","10","3","9","9","8","5","4","8","1","6","9","8","8","9","10","7","5"
"82","Totale","1","11","6","12","10","10","8","9","10","4","13","12","11","10","17","14","12","8"
"83","Maschi","1","0","1","2","3","1","2","3","5","2","3","7","2","2","2","7","4","5"
"83","Femmine","1","1","10","2","7","9","8","5","4","8","1","6","8","8","6","7","10","7"
"83","Totale","2","1","11","4","10","10","10","8","9","10","4","13","10","10","8","14","14","12"
"84","Maschi","2","0","0","1","1","3","1","2","3","4","2","3","8","2","2","1","6","3"
"84","Femmine","1","1","1","10","2","7","10","8","5","5","7","1","6","7","6","6","7","8"
"84","Totale","3","1","1","11","3","10","11","10","8","9","9","4","14","9","8","7","13","11"
"85","Maschi","1","2","0","0","1","0","3","1","2","3","4","2","2","8","2","2","1","6"
"85","Femmine","4","0","1","1","10","3","7","7","7","5","5","6","1","6","6","5","6","7"
"85","Totale","5","2","1","1","11","3","10","8","9","8","9","8","3","14","8","7","7","13"
"86","Maschi","0","1","2","0","1","1","0","4","1","2","3","4","2","2","6","2","2","1"
"86","Femmine","2","4","1","2","1","9","4","7","7","6","4","5","4","1","6","5","5","5"
"86","Totale","2","5","3","2","2","10","4","11","8","8","7","9","6","3","12","7","7","6"
"87","Maschi","1","0","1","2","0","1","1","0","2","1","2","3","4","2","2","6","2","1"
"87","Femmine","5","1","2","1","0","1","8","2","7","6","8","3","4","3","2","6","4","5"
"87","Totale","6","1","3","3","0","2","9","2","9","7","10","6","8","5","4","12","6","6"
"88","Maschi","1","1","0","1","2","0","1","1","0","2","1","1","3","4","2","1","5","2"
"88","Femmine","3","5","0","2","1","0","1","4","2","4","5","8","3","4","2","2","5","4"
"88","Totale","4","6","0","3","3","0","2","5","2","6","6","9","6","8","4","3","10","6"
