"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23","Femmine","8","9","5","6","9","7","4","5","7","10","6","6","11","7","9","8","6","7"
"23","Totale","15","20","10","12","18","13","7","13","13","16","12","13","19","18","18","13","14","20"
"24","Maschi","9","7","12","5","6","9","8","3","8","4","7","6","7","7","13","8","6","5"
"24","Femmine","5","8","7","5","5","12","6","3","5","6","12","6","6","10","7","9","9","5"
"24","Totale","14","15","19","10","11","21","14","6","13","10","19","12","13","17","20","17","15","10"
"25","Maschi","13","10","5","12","7","6","9","8","2","9","4","8","5","7","7","14","10","6"
"25","Femmine","10","4","8","9","5","5","14","9","5","4","5","11","6","8","10","8","10","8"
"25","Totale","23","14","13","21","12","11","23","17","7","13","9","19","11","15","17","22","20","14"
"26","Maschi","15","13","9","5","12","3","7","11","11","3","9","4","7","5","6","6","14","10"
"26","Femmine","15","11","7","9","12","6","8","15","10","5","5","5","9","6","9","11","5","8"
"26","Totale","30","24","16","14","24","9","15","26","21","8","14","9","16","11","15","17","19","18"
"27","Maschi","12","14","14","8","2","10","2","7","12","11","3","8","5","8","5","7","8","14"
"27","Femmine","16","15","14","11","13","11","7","6","16","9","5","8","5","8","5","6","7","5"
"27","Totale","28","29","28","19","15","21","9","13","28","20","8","16","10","16","10","13","15","19"
"28","Maschi","14","15","19","13","6","6","10","3","8","8","11","3","9","5","7","4","6","6"
"28","Femmine","15","13","17","16","12","13","10","8","8","14","9","5","8","5","8","5","6","6"
"28","Totale","29","28","36","29","18","19","20","11","16","22","20","8","17","10","15","9","12","12"
"29","Maschi","17","13","13","20","13","9","7","12","3","9","7","10","4","7","5","6","4","4"
"29","Femmine","11","13","17","15","14","12","16","10","9","10","14","8","6","9","4","6","5","6"
"29","Totale","28","26","30","35","27","21","23","22","12","19","21","18","10","16","9","12","9","10"
"30","Maschi","10","15","18","10","20","17","9","8","11","7","11","7","10","4","6","6","5","4"
"30","Femmine","5","13","14","20","14","12","11","12","9","7","10","12","8","6","8","5","8","5"
"30","Totale","15","28","32","30","34","29","20","20","20","14","21","19","18","10","14","11","13","9"
"31","Maschi","8","10","21","19","11","21","15","11","8","12","8","10","6","12","4","7","5","7"
"31","Femmine","18","6","14","13","21","15","9","12","15","9","7","9","12","8","7","8","4","8"
"31","Totale","26","16","35","32","32","36","24","23","23","21","15","19","18","20","11","15","9","15"
"32","Maschi","17","8","10","20","20","9","19","14","10","6","12","9","9","4","11","4","6","5"
"32","Femmine","20","16","5","12","14","20","14","8","13","15","8","6","10","9","7","6","8","6"
"32","Totale","37","24","15","32","34","29","33","22","23","21","20","15","19","13","18","10","14","11"
"33","Maschi","16","16","8","8","22","17","10","13","12","13","6","13","9","5","5","13","5","6"
"33","Femmine","19","20","14","4","14","16","18","14","8","11","16","9","7","10","8","7","5","7"
"33","Totale","35","36","22","12","36","33","28","27","20","24","22","22","16","15","13","20","10","13"
"34","Maschi","11","16","15","5","6","17","16","12","13","11","11","7","13","9","5","4","11","7"
"34","Femmine","17","21","21","12","4","14","15","17","17","9","11","16","10","7","8","8","7","4"
"34","Totale","28","37","36","17","10","31","31","29","30","20","22","23","23","16","13","12","18","11"
"35","Maschi","24","15","15","17","7","6","18","16","13","17","11","11","6","13","7","6","7","9"
"35","Femmine","14","15","22","20","11","6","10","14","15","16","7","11","17","7","7","7","6","7"
"35","Totale","38","30","37","37","18","12","28","30","28","33","18","22","23","20","14","13","13","16"
"36","Maschi","15","24","16","17","20","7","4","17","15","11","15","11","10","6","12","6","7","6"
"36","Femmine","14","13","15","22","20","15","6","11","12","16","15","6","11","17","7","6","7","6"
"36","Totale","29","37","31","39","40","22","10","28","27","27","30","17","21","23","19","12","14","12"
"37","Maschi","17","16","24","17","15","20","8","3","17","14","13","12","10","10","6","10","6","6"
"37","Femmine","9","13","15","15","22","16","15","8","11","13","16","15","5","10","18","8","6","8"
"37","Totale","26","29","39","32","37","36","23","11","28","27","29","27","15","20","24","18","12","14"
"38","Maschi","14","17","16","22","17","15","15","8","6","19","13","14","10","10","10","4","10","6"
"38","Femmine","15","10","12","13","16","23","16","19","7","11","11","16","14","5","11","18","7","5"
"38","Totale","29","27","28","35","33","38","31","27","13","30","24","30","24","15","21","22","17","11"
"39","Maschi","15","16","19","15","20","17","15","17","10","7","17","14","14","11","10","8","4","9"
"39","Femmine","15","15","10","12","15","14","24","18","19","5","9","10","12","15","5","12","16","7"
"39","Totale","30","31","29","27","35","31","39","35","29","12","26","24","26","26","15","20","20","16"
"40","Maschi","16","15","14","21","15","24","19","17","17","10","8","16","14","13","12","9","6","4"
"40","Femmine","13","15","15","8","12","17","14","24","18","19","5","8","11","12","14","7","11","16"
"40","Totale","29","30","29","29","27","41","33","41","35","29","13","24","25","25","26","16","17","20"
"41","Maschi","12","15","13","13","23","12","24","16","16","17","9","9","17","14","11","12","11","6"
"41","Femmine","12","13","13","15","8","12","17","14","22","17","20","5","8","12","13","17","6","9"
"41","Totale","24","28","26","28","31","24","41","30","38","34","29","14","25","26","24","29","17","15"
"42","Maschi","13","12","15","12","15","22","12","24","15","15","17","9","10","17","14","12","13","10"
"42","Femmine","5","11","13","14","15","8","11","17","15","20","17","18","5","8","14","12","19","6"
"42","Totale","18","23","28","26","30","30","23","41","30","35","34","27","15","25","28","24","32","16"
"43","Maschi","13","13","12","14","14","20","21","12","25","14","12","17","9","10","17","15","10","15"
"43","Femmine","10","5","11","13","14","12","8","11","17","14","18","17","18","5","12","14","12","18"
"43","Totale","23","18","23","27","28","32","29","23","42","28","30","34","27","15","29","29","22","33"
"44","Maschi","12","13","11","12","14","19","18","23","13","26","15","13","16","9","11","17","15","11"
"44","Femmine","6","10","5","11","13","14","12","8","11","15","14","20","15","18","6","11","13","12"
"44","Totale","18","23","16","23","27","33","30","31","24","41","29","33","31","27","17","28","28","23"
"45","Maschi","4","14","12","8","14","12","17","17","23","13","26","14","12","16","9","11","17","13"
"45","Femmine","9","6","12","4","11","14","16","14","8","11","15","14","19","17","18","6","12","13"
"45","Totale","13","20","24","12","25","26","33","31","31","24","41","28","31","33","27","17","29","26"
"46","Maschi","12","6","12","12","10","14","14","17","16","24","12","27","14","12","15","8","8","17"
"46","Femmine","21","9","4","14","4","12","14","15","14","8","12","15","12","19","17","17","7","9"
"46","Totale","33","15","16","26","14","26","28","32","30","32","24","42","26","31","32","25","15","26"
"47","Maschi","11","12","5","14","12","9","14","15","15","14","23","12","25","14","10","12","8","8"
"47","Femmine","10","21","9","5","12","4","14","13","14","13","8","12","16","13","17","17","17","7"
"47","Totale","21","33","14","19","24","13","28","28","29","27","31","24","41","27","27","29","25","15"
"48","Maschi","11","11","12","9","16","14","7","14","14","15","14","25","12","24","14","11","12","8"
"48","Femmine","8","10","21","9","5","11","4","14","13","13","13","8","12","16","13","18","16","17"
"48","Totale","19","21","33","18","21","25","11","28","27","28","27","33","24","40","27","29","28","25"
"49","Maschi","12","11","10","12","8","15","13","7","13","15","15","14","20","11","25","13","10","12"
"49","Femmine","7","10","10","21","8","6","10","4","13","13","13","13","8","12","16","13","18","16"
"49","Totale","19","21","20","33","16","21","23","11","26","28","28","27","28","23","41","26","28","28"
"50","Maschi","16","12","11","10","12","10","14","13","8","14","15","16","14","21","13","26","15","11"
"50","Femmine","4","7","10","9","21","8","4","10","4","13","13","13","13","8","12","15","14","17"
"50","Totale","20","19","21","19","33","18","18","23","12","27","28","29","27","29","25","41","29","28"
"51","Maschi","10","15","12","11","10","11","10","16","13","8","14","14","15","13","20","13","26","16"
"51","Femmine","7","4","6","10","11","21","8","4","10","4","14","13","13","14","7","11","15","14"
"51","Totale","17","19","18","21","21","32","18","20","23","12","28","27","28","27","27","24","41","30"
"52","Maschi","8","9","15","13","10","10","10","8","13","13","8","14","14","14","13","18","13","25"
"52","Femmine","9","7","5","6","8","11","21","8","4","11","4","14","13","13","13","7","11","15"
"52","Totale","17","16","20","19","18","21","31","16","17","24","12","28","27","27","26","25","24","40"
"53","Maschi","14","9","9","13","13","10","11","10","8","12","13","8","13","14","15","13","19","13"
"53","Femmine","15","9","7","5","6","8","13","22","10","4","11","4","13","14","13","13","7","11"
"53","Totale","29","18","16","18","19","18","24","32","18","16","24","12","26","28","28","26","26","24"
"54","Maschi","9","14","8","9","13","13","10","12","9","9","12","14","8","14","14","15","14","19"
"54","Femmine","12","15","11","7","5","6","8","13","22","10","4","11","5","13","13","13","12","7"
"54","Totale","21","29","19","16","18","19","18","25","31","19","16","25","13","27","27","28","26","26"
"55","Maschi","11","9","14","8","8","13","10","13","11","10","9","12","15","8","14","13","15","14"
"55","Femmine","9","12","14","10","7","5","6","8","13","22","10","4","12","5","13","13","13","12"
"55","Totale","20","21","28","18","15","18","16","21","24","32","19","16","27","13","27","26","28","26"
"56","Maschi","7","11","10","14","8","8","13","10","12","12","10","9","11","14","7","14","13","15"
"56","Femmine","8","13","12","14","10","7","5","6","8","12","21","11","4","11","5","13","13","13"
"56","Totale","15","24","22","28","18","15","18","16","20","24","31","20","15","25","12","27","26","28"
"57","Maschi","7","9","11","11","14","8","8","13","8","12","12","10","9","12","13","7","13","13"
"57","Femmine","10","8","12","12","13","10","7","4","6","8","12","21","11","4","10","5","13","13"
"57","Totale","17","17","23","23","27","18","15","17","14","20","24","31","20","16","23","12","26","26"
"58","Maschi","6","9","9","11","8","14","7","10","13","7","11","12","10","9","11","14","8","12"
"58","Femmine","13","12","8","12","13","13","8","7","3","6","7","12","21","12","4","10","5","13"
"58","Totale","19","21","17","23","21","27","15","17","16","13","18","24","31","21","15","24","13","25"
"59","Maschi","8","6","9","9","9","8","13","6","10","12","7","11","12","11","9","11","14","8"
"59","Femmine","12","13","12","8","12","11","13","10","8","3","6","7","12","20","12","4","10","6"
"59","Totale","20","19","21","17","21","19","26","16","18","15","13","18","24","31","21","15","24","14"
"60","Maschi","12","9","9","9","9","9","8","13","4","10","12","7","10","12","11","9","11","13"
"60","Femmine","9","14","13","12","8","12","10","13","10","8","4","6","7","12","20","12","4","10"
"60","Totale","21","23","22","21","17","21","18","26","14","18","16","13","17","24","31","21","15","23"
"61","Maschi","13","10","9","7","10","9","8","9","12","5","10","12","5","9","12","11","9","11"
"61","Femmine","8","11","14","13","12","8","12","10","12","10","8","4","5","7","12","18","12","4"
"61","Totale","21","21","23","20","22","17","20","19","24","15","18","16","10","16","24","29","21","15"
"62","Maschi","14","11","10","9","9","9","9","8","9","11","5","9","12","5","7","12","12","9"
"62","Femmine","7","12","13","15","13","12","8","11","10","10","10","8","4","5","7","12","18","12"
"62","Totale","21","23","23","24","22","21","17","19","19","21","15","17","16","10","14","24","30","21"
"63","Maschi","13","16","9","10","8","9","8","9","9","8","11","5","9","12","5","7","11","12"
"63","Femmine","9","7","12","13","17","13","12","8","9","11","10","10","8","3","5","7","13","18"
"63","Totale","22","23","21","23","25","22","20","17","18","19","21","15","17","15","10","14","24","30"
"64","Maschi","7","13","16","11","10","8","9","8","9","10","8","11","5","9","12","5","7","11"
"64","Femmine","9","9","7","11","15","16","12","11","8","9","11","10","11","8","3","5","7","13"
"64","Totale","16","22","23","22","25","24","21","19","17","19","19","21","16","17","15","10","14","24"
"65","Maschi","2","7","13","15","13","10","7","9","9","9","10","8","11","5","9","12","5","7"
"65","Femmine","10","7","9","7","11","17","15","12","9","7","9","11","10","10","8","3","5","7"
"65","Totale","12","14","22","22","24","27","22","21","18","16","19","19","21","15","17","15","10","14"
"66","Maschi","10","2","6","13","15","13","10","6","9","7","9","10","9","11","4","9","13","5"
"66","Femmine","7","10","9","8","7","10","16","14","12","9","7","8","11","10","9","8","3","5"
"66","Totale","17","12","15","21","22","23","26","20","21","16","16","18","20","21","13","17","16","10"
"67","Maschi","4","10","2","6","12","14","12","10","5","9","5","9","9","9","11","4","9","13"
"67","Femmine","7","7","10","9","8","7","10","15","13","12","9","7","9","11","10","9","8","3"
"67","Totale","11","17","12","15","20","21","22","25","18","21","14","16","18","20","21","13","17","16"
"68","Maschi","9","4","12","2","6","14","14","12","9","5","8","4","9","8","8","11","4","8"
"68","Femmine","5","7","7","10","9","9","6","9","14","12","12","9","7","9","11","10","8","8"
"68","Totale","14","11","19","12","15","23","20","21","23","17","20","13","16","17","19","21","12","16"
"69","Maschi","6","9","4","12","2","6","14","14","11","10","5","7","4","9","8","8","11","4"
"69","Femmine","12","4","6","7","10","9","9","6","8","13","11","12","9","7","9","11","10","8"
"69","Totale","18","13","10","19","12","15","23","20","19","23","16","19","13","16","17","19","21","12"
"70","Maschi","6","6","9","4","13","2","6","14","14","10","10","4","7","4","9","8","9","11"
"70","Femmine","11","12","4","6","7","10","9","9","6","8","13","11","11","9","7","9","12","10"
"70","Totale","17","18","13","10","20","12","15","23","20","18","23","15","18","13","16","17","21","21"
"71","Maschi","8","4","4","8","4","12","2","6","14","14","10","9","4","8","4","8","9","9"
"71","Femmine","8","11","10","4","6","7","10","9","9","6","8","13","11","11","9","7","9","13"
"71","Totale","16","15","14","12","10","19","12","15","23","20","18","22","15","19","13","15","18","22"
"72","Maschi","3","7","5","6","8","4","12","2","6","11","14","10","9","4","7","3","8","10"
