"IdSensore","Comune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Type"
5749,"Saronno",3464.46654611212,3499.00542495479,3511.9349005425,3522.87522603978,3546.74502712477,3538.78842676311,3527.93851717902,3523.14647377938,3521.51898734177,3517.54068716094,3504.06871609403,3488.42676311031,3475.76853526221,"urban"
5735,"Merate",1328.9972899729,1331.6169828365,1326.3775971093,1324.75158084914,1323.30623306233,1318.33785004517,1313.0081300813,1310.027100271,1315.08581752484,1312.19512195122,1328.09394760614,1324.39024390244,1336.58536585366,"urban"
5738,"Abbadia Cerreto",45.6451612903226,47.258064516129,46.6129032258064,47.9032258064516,49.0322580645161,48.5483870967742,47.258064516129,46.6129032258064,47.258064516129,44.8387096774194,45.4838709677419,44.3548387096774,45,"rural"
10288,"Lecco",1031.14681928241,1037.11204050187,1041.64648910412,1049.57076821484,1054.54545454545,1056.81267884658,1053.92912172573,1058.96984371561,1059.18996257979,1062.40369799692,1044.55205811138,1030.83865287255,1031.7191283293,"urban"
5718,"Magenta",1049.43155979991,1049.3860845839,1052.70577535243,1053.56980445657,1057.66257389723,1063.61982719418,1071.98726693952,1079.89995452478,1082.53751705321,1089.49522510232,1095.13415188722,1096.2710322874,1097.31696225557,"urban"
9925,"Cremona",1007.43367853596,1002.68123138034,996.339906369698,994.353809050929,996.18385586608,1001.67399631153,1007.94438927507,1012.11519364449,1016.4987941552,1025.30855440488,1010.3986381047,1004.97942970634,1002.08540218471,"urban"
10025,"Calusco d'Adda",991.596638655462,994.357743097239,993.7575030012,1001.5606242497,999.519807923169,991.596638655462,993.037214885954,993.7575030012,997.839135654262,990.996398559424,991.596638655462,985.594237695078,988.115246098439,"factory"
9861,"Voghera",611.112862547289,612.547288776797,611.617276166456,616.803278688525,615.353089533417,614.84867591425,615.589533417402,615.699873896595,614.84867591425,615.558007566204,605.848045397226,603.972257250946,609.032156368222,"urban"
5742,"Morbegno",798.785425101215,798.85290148448,807.085020242915,814.035087719298,818.421052631579,813.630229419703,823.751686909582,830.971659919028,839.473684210526,840.215924426451,825.708502024292,825.033738191633,825.23616734143,"urban"
5710,"Cormano",4426.1744966443,4469.79865771812,4515.21252796421,4530.87248322148,4527.74049217002,4544.07158836689,4526.62192393736,4522.59507829978,4505.59284116331,4544.29530201342,4545.19015659955,4547.42729306488,4553.91498881432,"urban"
17297,"Bergamo",2864.4671314741,2901.44422310757,2913.69521912351,2919.44721115538,2923.87948207171,2926.44422310757,2936.703187251,2963.62051792829,2979.2828685259,3002.21613545817,2987.8735059761,2975,2976.44422310757,"urban"
12020,"Spinadesco",94.479953515398,92.2719349215572,91.9233004067403,92.2138291690877,90.8192911098199,89.308541545613,88.3207437536316,86.6356769320163,86.9843114468332,84.8343986054619,86.8680999418942,85.7640906449738,84.1952353282975,"factory"
9856,"Cornale",437.914691943128,432.701421800948,421.327014218009,421.327014218009,417.535545023697,406.161137440758,406.635071090047,409.004739336493,410.42654028436,400.473933649289,393.838862559242,388.625592417062,378.199052132701,"rural"
10282,"Milano",6859.70716133649,6936.96812902516,7045.45604667804,7126.80684758078,7281.84070017064,7374.97660593384,7443.12764903396,7506.3741949689,7601.66785930533,7684.15258435625,7566.36758958551,7430.67099686244,7454.15313480487,"urban"
10454,"Lodi",1053.12195121951,1063.80487804878,1066.63414634146,1072.92682926829,1072.41463414634,1073.21951219512,1075.0487804878,1078.39024390244,1076.34146341463,1089.92682926829,1093.0487804878,1090.63414634146,1090.46341463415,"urban"
5707,"Arconate",756.057007125891,768.764845605701,778.74109263658,785.985748218527,784.441805225653,787.767220902613,793.230403800475,795.724465558195,788.12351543943,785.510688836104,794.061757719715,802.612826603325,802.375296912114,"urban"
6582,"Como",2211.63793103448,2225.24245689655,2247.57543103448,2274.81142241379,2293.13038793103,2305.14547413793,2315.70581896552,2330.49568965517,2320.07004310345,2316.24461206897,2269.66594827586,2245.71659482759,2240.94827586207,"urban"
10463,"Bertonico",55.3048487758041,56.841094575132,56.4570331253001,57.273163706193,56.1689870379261,55.5928948631781,54.7287566010562,54.0566490638502,53.4805568891023,53.1925108017283,51.3202112337974,51.4162265962554,51.3202112337974,"rural"
9882,"Monza",3621.87972197038,3650.3777576307,3649.56180114838,3677.24388032638,3692.53550921729,3698.79117558175,3715.65427621638,3730.19038984587,3760.41100030221,3761.22695678453,3702.68963433061,3686.43094590511,3680.84013297069,"urban"
30165,"Brescia",2095.90436130175,2115.03210095196,2119.10560106265,2119.40447199469,2121.10914323666,2137.67987602391,2146.12574717733,2149.30263449192,2150.2656630507,2171.06486606155,2184.01593978304,2168.54106707992,2174.51848572061,"factory"
6818,"Gambara",149.794238683128,150.490661601773,149.667616334283,149.002849002849,147.958214624881,147.325102880658,147.799936688826,149.192782526116,149.699271921494,147.989870212092,144.349477682811,144.001266223488,143.20987654321,"urban"
5750,"Varese",1471.38949671772,1467.04959883297,1463.49380014588,1463.25674690007,1467.61487964989,1468.27133479212,1470.86068563093,1471.57184536834,1471.29832239241,1474.76294675419,1446.93654266958,1435.81327498177,1429.77753464624,"urban"
5960,"Crema",963.093858632677,967.323290845886,974.420625724218,978.56315179606,982.15527230591,983.285052143685,989.860950173812,991.483198146002,987.543453070684,995.596755504056,991.019698725377,984.067207415991,978.736964078795,"urban"
20154,"Mezzana Bigli",41.5356489945155,41.1334552102377,40.2559414990859,40.7312614259598,40.8775137111517,40.6215722120658,39.4881170018282,39.3784277879342,38.3912248628885,38.7934186471664,37.5137111517367,38.4277879341865,38.2449725776965,"rural"
